name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
"Home - Universal Service Recycling, Inc.",https://usrscrap.com/new/,3200 South El Dorado StreetSt,ockton,CA,95206,United States,[],['info@usrscrap.com'],[],[],,"['Iron', 'Scrap Metal']",[],
Scrap Metal Disposal,https://www.1800gotjunk.com/us_en/locations/junk-removal-sanfrancisco/scrap-metal,,,,,United States,"['(800) 468-5865', '(866) 877-3033', '(800) 619-2981']",[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Aluminum', 'Copper', 'Appliance']",[],Looking for fast scrap metal disposal in San Francisco? 1-800-GOT-JUNK? provides same-day pickup and responsible recycling for all scrap metal types. Book now!
Metal recycling center in Los Angeles,https://forscrap.com/,20749 Prairie St,Chatsworth,CA,91311,United States,"['(818) 357-7581', '(866) 567-2727']",['info@forscrap.com'],[],[],,"['Steel', 'Brass', 'Scrap Metal', 'Stainless Steel', 'Aluminum', 'Copper']",[],"Looking for the nearest scrap yard near you? Greener Recycling is your Los Angeles, CA mobile metal scrap yard to sell your copper, brass and other non-ferrous metals for TOP $. Call our recycling center for quote and pick up now: (866)567-27-27"
eBay,https://abcautowreckingaz.com/,12344302 E. Illinois Street,Tucson,AZ,85714,United States,['(520) 294-1234'],[],[],[],,['Auto Parts'],[],"Tucson, AZ | Browse & Buy Online"
California Scrap Metal Buyers & Recycling Centers,https://scrapvisor.com/california/,"0








FNG Recycling and E-waste Handlers
2711 N Wilmington Ave",Compton,CA,90222,United States,"['(323) 794-9532', '(707) 642-5408', '(909) 978-3075']",[],[],[],,"['Iron', 'Steel', 'Catalytic Converter', 'Brass', 'Scrap Metal', 'Zinc', 'Stainless Steel', 'Aluminum', 'Lead', 'Copper']",[],"Find trusted scrap metal buyers and recycling centers in California. View up-to-date scrap metal prices, explore our interactive map of local scrap yards, and connect with reputable companies for fast and profitable scrap sales."
Bins and Containers,https://atlasironandmetal.com/bins-and-containers/,10019 S Alameda Street,Los Angeles,CA,90002,United States,"['(323) 566-5184', '(800) 540-5184', '(566) 518-4800']",[],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Copper', 'Appliance']",[],"Atlas Iron & Metal Co. provides bin & container services for recycling scrap metal in Los Angeles. Recycle debris, metal, copper, stainless steel & automotive scrap."
"PROFESSIONAL CRV RECYCLING SERVICESSERVING SOUTH SAN DIEGO COUNTY AND LOCATED IN CHULA VISTA, CA",https://www.mikesrecycling.net/,2688 3151 Main St,Chula Vista,CA,91911,United States,['(619) 426-2688'],[],[],[],,"['Iron', 'Scrap Metal']",[],"Mike's Recycling is your local provider of professional recycling services in Chula Vista, CA and the surrounding areas. Give us a call today!"
California JUNKYARDS & SALVAGE YARDS,https://www.rustysautosalvage.com/california.html,660    Ford Expl,orer  Ye,AR,,United States,['(866) 439-4401'],[],[],[],,"['Iron', 'Copper', 'Scrap Metal']",[],Our network of California junkyards and auto salvage yards will pay you cash for your junk car on the spot and offer free junk car removal in all of CA.
Scrap Metal Recycling & Pick Up,https://junkremovalguysofsanfrancisco.com/scrap-metal-recycling-pick-up/,2265 Market St,San Francisco,CA,94114,United States,['(415) 943-5998'],[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Zinc', 'Electronic', 'Aluminum', 'Lead', 'Copper', 'Appliance']",[],"Table of Contents Scrap metal comes in all sizes, shapes, and weights. It is unfortunate when you are left dealing with a pile of scrap metal. This is especially true for people with minimal removal and disposal resources. Fortunately, scrap metal is not that difficult to dispose of because it…"
California,https://iscrapapp.com/yards-in/california/,"92029				




View Yard Profile








PREMIUM YARD
CASS Inc

				2730 Peralta Street",Oakla,ND,,United States,[],[],[],[],,"['Iron', 'Steel', 'Catalytic Converter', 'Brass', 'Scrap Metal', 'Zinc', 'Battery', 'Stainless Steel', 'Aluminum', 'Lead']",[],"Find the salvage yards and scrap yards listed in California from the iScrap App. Search for current scrap metal prices, request containers, and more within minutes."
"Scrap Metal and E-Scrap Recycling - R2, ISO 14001, ISO 45001 Certified",https://www.broadwaymetalrecycling.com/,3330 W Broadway Rd,Phoenix,AZ,85041,United States,['(602) 795-6328'],[],[],[],,"['Iron', 'Electronic', 'Lead', 'Scrap Metal']",[],Scrap Metal & E-Scrap Recycling
Junkyards in California,https://junkyardsnearme.net/junkyards-california/,9365 Glenoaks Blvd,Sun Valley,CA,91352,United States,[],[],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Battery', 'Lead', 'Auto Parts']",[],Click here to find Junkyards in California. Use our CA find to locate the best yards in the state. You can get a free...
Scrap Metal Removal & Scrap Metal Recycling Pick Up Las Vegas NV| MGM Junk Removal,http://www.mgmjunkremoval.com/-scrap-metal-recycling-.html,89185  MOST,POPUL,AR,,United States,[],[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Battery', 'Stainless Steel', 'Aluminum', 'Lead', 'Electronic', 'Copper']",[],
Nevada Recycling,https://iscrapapp.com/yards/us-nevada-henderson-nevada-recycling/,"75
Fire Wire
Forktruck Battery
FSX 414
Fuses
Gold
Hard Drive Boards
Hard Drives
Hard Drives without Boards
Hastelloy Solids
Hastelloy Turnings
Heliax Wire
High Speed Steel
Housewire
Incomplete Car
Inconel
Inconel 792
Inconel 800
Inconel 825
Ink Cartridges
Insulated Aluminum Wire
Insulated Copper Cable
Insulated Copper Wire
Insulated Steel BX
Invar
Junkshop Extrusion
Keyboard","s
Kov",AR,,United States,['(702) 856-0866'],[],[],[],,"['Iron', 'Steel', 'Catalytic Converter', 'Brass', 'Scrap Metal', 'Zinc', 'Battery', 'Stainless Steel', 'Aluminum', 'Lead']",[],"Nevada Recycling, Scrap Metal Yard in Henderson, Nevada"
Our Scrap Yard,https://atlasironandmetal.com/our-scrap-yard/,10019 S Alameda Street,Los Angeles,CA,90002,United States,"['(323) 566-5184', '(800) 540-5184', '(566) 518-4800']",[],[],[],,"['Iron', 'Steel', 'Copper', 'Scrap Metal']",[],"Atlas Iron & Metal Co., a scrap metal company, provides metal scrap yard recycling services in Los Angeles. Recycle metal, copper, stainless steel & automotive scrap. If you're looking for a great wrecking yard in Los Angeles, look no further than Atlas Iron & Metal Co."
WILLIS RECYCLING,https://www.willisrecycling.com/,,,,,United States,[],['willisrecycling@yahoo.com'],[],[],,"['Iron', 'Steel', 'Stainless Steel', 'Aluminum', 'Electronic', 'Copper']",[],
Downtownmetals,http://downtownmetals.com,526 S Alameda St.,Los Angeles,CA,90013,United States,[],[],[],[],,['Aluminum'],[],"Welcome to Downtown Metals and Recycling Center. We are your local CRV Recycling 
Center. We Offer Competitive Pricing and  Outstanding Customer Service. 
Give us a call or come by and recycle your aluminum cans and plastic and 
glass bottles."
Westside Auto Recycling!,https://www.westsideautorecycling.com/,,,,,United States,"['(800) 586-5869', '(310) 473-3221']",['westsideautorecycling@gmail.com'],[],[],,[],[],"At Westside Auto Recycling, we have over 25 years of experience. We pay top dollar for your cars, trucks, vans, and SUV's. Call 310-473-3221 today."
Junkyards in Nevada,https://www.usedpart.us/used-auto-parts/nevada/,,,,,United States,['(800) 646-4790'],['sales@usedpart.us'],[],[],,"['Battery', 'Auto Parts']",[],✓ IN STOCKMarshall's Auto Parts IncGet a PriceCall For A QuoteAbout This Yard
Media,https://calmetalrecyclers.com/media/,"404





Got a quest",ion,OR,,United States,[],[],[],[],,"['Iron', 'Copper', 'Scrap Metal']",[],
"Henderson, Nevada",https://www.autowrecking.com/locations/henderson,1701 Athol St.,Henderson,NV,89011,United States,"['(855) 339-1932', '(702) 551-8686']",[],[],[],Store Hours Monday - Friday 8 am - 5 pm,[],[],"Quality used car & truck parts, engines, and transmissions from our vehicle salvage yards. Do it yourself for less with recycled auto parts—the B&R way!"
Junkyards in Arizona,https://junkyardsnearme.net/junkyards-in-arizona/,"85120
ABC Auto Wrecking Used Auto Parts 4302 E Illinois St",Tucson,AZ,85714,United States,[],[],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Battery', 'Auto Parts']",[],Find junkyards in Arizona. Our site maps junkyards in Arizona and helps you find used parts cheap. You can get a free...
"Las Vegas, Nevada",https://www.autowrecking.com/locations/lasvegas,4540 Smiley Rd.,Las Vegas,NV,89115,United States,"['(800) 578-6787', '(855) 339-1932', '(702) 643-1771']",[],[],[],Store Hours Monday - Friday 8 am - 5 pm,[],[],"Quality used car & truck parts, engines, and transmissions from our vehicle salvage yards. Do it yourself for less with recycled auto parts—the B&R way!"
Standard Auto Recycling,http://standardautorecycling.com/,2000 Nissan. I gave,it sever,AL,,United States,['(555) 428-0940'],[],[],[],,['Auto Parts'],[],"Serving cheap auto parts to the greater San Diego area with over 40 years of experience, Reliable and cheap auto parts."
Scrap Metal Recycling Los Angeles - Smart Recycling Inc.,https://smartrecycling.com/scrap-metal-recycling-los-angeles/,414 West C Street,Wilmington,CA,90744,United States,"['(310) 830-8277', '(310) 834-4861']",[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Aluminum', 'Lead', 'Copper']",[],Los Angeles Scrap Metal Recycling
JunkYards inSan Jose (California),https://usjunkyards.com/st-california/cy-santa-clara/ci-san-jose/,,,,,United States,"['(888) 871-4488', '(888) 853-0481']",[],[],[],,"['Battery', 'Auto Parts', 'Scrap Metal']",[],"Explore detailed information on JunkYards near you in San Jose, CA. Visit this page to locate car salvage yards where you can sell your car or find auto parts."
"Professional Scrap Metal Removal Services – Fast, Eco‑Friendly & Hassle‑Free",https://www.movenhaul.com/scrap-metal-removal,6 Expert - Waste Fast,AboutServicesBo,OK,,United States,['(415) 416-0817'],"['info@movenhaul.com', '416-0817info@movenhaul.common']",[],[],,"['Iron', 'Scrap Metal', 'Electronic', 'Copper', 'Appliance']",[],"Need scrap metal removal in San Francisco? MovenHaul delivers fast, eco‑friendly hauling for appliances, construction debris, and all types of metal scrap—safe, affordable, and same‑day service."
Home,https://www.scrap-sf.org/,834 Toland St,San Francisco,CA,94124,United States,[],"['donate@scrap-sf.org', 'usscrap@scrap-sf.orgfollow', 'scrap@scrap-sf.org']",[],[],,['Iron'],[],
"Process of Disposing Scrap Metal & Recycling in Chula Vista, CA",http://www.rileyrecycling.com/,2817 Main St,Chu,LA,,United States,[],[],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Electronic', 'Aluminum', 'Stainless Steel', 'Precious Metals', 'Appliance']",[],
Best Salvage Yards In Los Angeles,https://www.bestinhood.com/los-angeles/auto-services/best-salvage-yards-in-los-angeles/,535 Gallardo St,Los Angeles,CA,90033,United States,[],[],[],[],,"['Auto Parts', 'Lead']",[],"Discover the top salvage yards in Los Angeles! From quality parts to pricing insights, explore our guide for the best automotive deals in the City of Angels."
OUR SERVICES,https://www.aim-recycling.com/us/san-diego,,,,,United States,['(619) 661-1148'],['info@aim-recycling.com'],[],[],,"['Iron', 'Steel', 'Brass', 'Electronic', 'Aluminum', 'Copper']",[],"Top Prices Paid Recycling Steel, Iron, Household Appliances, BBQs, Aluminum, Copper, Wires, Brass & More"
Full-ServiceHVAC & AC Unit Removal/Recycling.,https://www.rzrrecycling.com/,,Phoenix,AZ,85027,United States,['(623) 869-0021'],['hello@rzrrecycling.com'],[],[],,"['Steel', 'Catalytic Converter', 'Brass', 'Scrap Metal', 'Aluminum', 'Lead', 'Copper', 'Appliance']",[],
High-quality Industrial Metal Supply—Up to 35% off industry price.,https://industrialmetalservice.com/,260 Phelan Avenue,San Jose,CA,95112,United States,[],['metalsales@industrialmetalservice.com'],[],[],,"['Steel', 'Brass', 'Zinc', 'Stainless Steel', 'Aluminum', 'Lead', 'Copper']",[],"Industrial Metal Service is your trusted Bay Area source for metal sales, metal recycling, and other support services."
"Junkyards & Auto Salvagein Reno, NV",https://preferredjunkyard.com/nevada/reno/,301 Montello St,Reno,NV,89512,United States,[],[],[],[],,"['Iron', 'Auto Parts']",[],"Find Trusted Junkyards and Auto Salvage Yards in Reno, Nevada that Buy Junk Cars and Sell Reliable Used Auto and Truck Parts."
materials we buy or recycle,https://sandiegocountyrecycling.com/materials-we-buy,3974 Spring Drive,Spring Valley,CA,91977,United States,['(619) 741-9780'],[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Aluminum', 'Lead', 'Copper', 'Appliance']",[],Call or visit us for the top copper and scrap metal prices in San Diego/Spring Valley
Videos,https://calmetalrecyclers.com/videos/,"404
Senate Bill 404 will save",met,AL,,United States,[],[],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Lead', 'Copper', 'Appliance']",[],
Sacramento Auto Dismantler | Auto Parts & Car Sales - Martin's Auto Dismantler,https://martinsautodismantler.com/,,Sacramento,CA,95828,United States,['(916) 730-8100'],"['admin@martinsautodismantler.com', 'sales@martinsautodismantler.com']",[],[],,"['Iron', 'Auto Parts']",[],"Sacramento's premier auto dismantlers, offering used parts, car sales, and eco-friendly solutions. Book an appointment today!"
SCRAP METAL BUYERSSERVING SOUTHERN CALIFORNIA,https://www.sackinmetal.com/,15201 Transistor Ln,Huntington Beach,CA,92649,United States,['(714) 891-4505'],[],[],[],,"['Steel', 'Scrap Metal', 'Stainless Steel', 'Aluminum', 'Lead', 'Copper']",[],"Contact Huntington Beach, CA’s Sackin Metals today at 7148914505 for high-quality metal services! We offer scrap metal buying, selling, and more. Click here!"
Metal Recycling,https://atlasironandmetal.com/metal-recycling/,10019 S Alameda Street,Los Angeles,CA,90002,United States,"['(323) 566-5184', '(800) 540-5184', '(566) 518-4800']",[],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Aluminum', 'Copper']",[],"Atlas Iron & Metal Co., a scrap yard, offers scrap metal recycling near you in Los Angeles. We buy metal, copper, aluminum, iron, stainless steel & automotive scrap for cash."
iPull-uPull Auto Parts - Sacramento,https://www.yelp.ca/biz/ipull-upull-auto-parts-sacramento-sacramento,7600 Stockton Blvd,Sacramento,CA,95823,United States,[],[],[],[],,['Auto Parts'],[],"IPULL-UPULL AUTO PARTS - SACRAMENTO, 7600 Stockton Blvd, Sacramento, CA 95823, United States, 21 Photos, Mon - 9:00 am - 6:00 pm, Tue - 9:00 am - 6:00 pm, Wed - 9:00 am - 6:00 pm, Thu - 9:00 am - 6:00 pm, Fri - 9:00 am - 6:00 pm, Sat - 8:00 am - 6:00 pm, Sun - 8:00 am - 6:00 pm"
California Scrap Metal Prices - USA,https://www.priceofscrapmetals.com/california/,2 years and law enforcement have the right to inspect these record,s at a,NY,,United States,[],[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Zinc', 'Stainless Steel', 'Aluminum', 'Lead', 'Electronic', 'Precious Metals']",[],"Find the Latest Scrap Metal Prices in California today. Check the current scrap price for copper, steel, aluminum, brass, gold and other ferrous and non-ferrous materials."
"San Diego,California Junkyards & Salvage Yards",https://www.rustysautosalvage.com/california/san-diego.html,,,,,United States,"['(866) 439-4401', '(908) 124-1364']",[],[],[],,[],[],Our network of San Diego California junkyards and auto salvage yards will pay you cash for your junk car on the spot and offer free junk car removal in all of San Diego CA.
"San Jose, CA Scrap Metal Prices",https://www.priceofscrapmetals.com/california/san-jose/,1 million people. It is also the largest,city,IN,,United States,[],[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Zinc', 'Stainless Steel', 'Aluminum', 'Lead', 'Electronic', 'Precious Metals']",[],"Find the Latest Scrap Metal Prices in San Jose, California today. Check the current scrap price for copper, steel, aluminum, brass, gold and other ferrous and non-ferrous materials."
​​​West Side,http://wsrecycling.com/contact.html,6449 San Fernando Rd.,Glendale,CA,91201,United States,[],"['info@wsrecycling.com', 'mario@wsrecycling.com']",[],[],,[],[],"6449 San Fernando Rd. Glendale, CA. 91201 Contact us today! Full service scrap metal recycling company."
Southern California's premier scrap metal recycling company,https://www.ptmetals.com/,38252213 Tyler Ave,South El Monte,CA,91733,United States,[],"['scrap@ptmetals.com', '91733emailscrap@ptmetals.comhoursmon']",[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Stainless Steel', 'Aluminum', 'Electronic', 'Precious Metals', 'Copper']",[],"Businesses in Southern CA enjoy tailored recycling solutions with on-site pickups, while residents get fast cash with easy drop-offs at our South El Monte facility."
Circosta Iron & Metal,https://iscrapapp.com/yards/us-california-san-francisco-circosta-iron-metal/,1801 Evans Avenue,San Francis,CO,,United States,['(415) 282-8568'],[],[],[],,"['Iron', 'Steel', 'Catalytic Converter', 'Brass', 'Scrap Metal', 'Zinc', 'Battery', 'Stainless Steel', 'Aluminum', 'Lead']",[],"Circosta Iron & Metal, Scrap Metal Yard in San Francisco, California"
Scrap Metal Recycling San Jose,https://flatrate-junkremoval.com/california/san-jose/scrap-metal-recycling-san-jose/,000 peopl,e a,ND,,United States,['(800) 299-5865'],"['info@flatrate-junkremoval.com', 'emailinfo@flatrate-junkremoval.com', 'affordable1-800-299-5865info@flatrate-junkremoval.comhomepricingservicesresidential']",[],[],,"['Electronic', 'Scrap Metal', 'Appliance']",[],"You’ve got junk, we’ve got the solution. If you’re looking for scrap metal recycling and disposal services in San Jose, Flat Rate Junk Removal is your clear choice – call 1-800-299-5865 today."
Scrap Metal Stores | Department of Public Safety,https://www.azdps.gov/services/enforcement-services/scrap/stores,2222 W. Encanto Blvd.,Phoenix,AZ,85009,United States,[],[],[],[],,"['Iron', 'Copper', 'Scrap Metal', 'Appliance']",[],Search by Store City
JunkYards and Salvage Yards inArizona (AZ),https://usjunkyards.com/st-arizona/,0481 to sell your car. We make it simpl,e a,ND,,United States,['(888) 853-0481'],[],[],[],,"['Auto Parts', 'Scrap Metal']",[],Find the nearest car junkyards and salvage yards near you in Arizona ⚡ USJunkYards provides a list of all salvage yards where you can dispose of your car and get Cash.
Junk King San Jose's Scrap Metal Pickup Services,https://www.junk-king.com/locations/sanjose/scrap-metal-pickup,"2005 Junk King was launched as the dependable junk hauling service to clear unwanted clutter from homes and businesses.


Contact Us Have any quest",ions abo,UT,,United States,"['(408) 912-1063', '(737) 888-5865', '(888) 888-5865']",[],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Electronic', 'Aluminum', 'Lead', 'Copper', 'Appliance']",[],"Scrap Metal Pickup | Junk King San Jose can provide you with top-notch scrap metal pickup services in San Jose, CA, and the surrounding areas."
SA Recycling Los Angeles South Alameda,https://www.sarecycling.com/yard/sa-recycling-los-angeles-south-alameda/,10313 Alameda St,Los Angeles,CA,90002,United States,"['(323) 564-5601', '(800) 468-7272']",['inquiries.carson-southalameda@sarecycling.com'],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Zinc', 'Stainless Steel', 'Aluminum', 'Lead', 'Copper', 'Appliance']",[],
Industrial Scrap Metal in San Diego,https://www.industrialscrapmetal.com/california/san-diego-industrial-scrap-metal/,"200 years later.










Professional Scrap Metal Recycling Services in San Diego







 
 
Metal Recycling 



 
 
Demolition Contractors



 
 
Copper Recycling 












Areas We Serve For Industrial Scrap Metal in California

ActonAdelantoAgouraAgoura HillsAgua DulceAlhambraAliso ViejoAlondra ParkAlpineAltadenaAnaheimAnzaApple ValleyArcadiaArlanzaArtesiaAtwaterAvalonAvocado HeightsAzusaBaldwin ParkBandiniBanningBarstowBarstow HeightsBeaumontBellBell GardensBellflowerBelvedereBermuda DunesBeverly HillsBig Bear CityBig Bear LakeBig RiverBloomingtonBlytheBonitaBonsallBorrego SpringsBostoniaBoyle HeightsBrandeisBreaBrentwoodBuelltonBuena ParkBurbankCabazonCalabasasCalimesaCamarilloCameron CornersCamp Pendleton NorthCamp Pendleton SouthCampoCanoga ParkCanyon CountryCanyon LakeCardiff-by-the-SeaCarlsbadCarmel ValleyCarpinteriaCarsonCasa ConejoCasa de Oro-Mount HelixCastaicCathedral CityCentury CityCerritosChannel Islands BeachCharter OakChatsworthCherry ValleyChinoChino HillsChula VistaCitrusClaremontCoachellaColtonCommerceComptonCoronaCoronadoCosta MesaCoto De CazaCovinaCowan HeightsCrestCrestlineCudahyCulver CityCypressDana PointDeclezvilleDel AireDel MarDel ReyDescansoDesert EdgeDesert Hot SpringsDesert View HighlandsDiamond BarDove CanyonDowneyDuarteEagle RockEast HemetEast IrvineEast La MiradaEast Los AngelesEast PasadenaEast Rancho DominguezEast San GabrielEast WhittierEastvaleEcho ParkEdenEl CajonEl Cerrito CoronaEl MonteEl RioEl SegundoEl SerenoEncinitasEncinoEscondidoEucalyptus HillsFairbanks RanchFairviewFallbrookFillmoreFlorence-GrahamFontanaFoothill RanchForest FallsFort IrwinFountain ValleyFremontFrench ValleyFullertonGarden GroveGardenaGarnetGlen AvonGlendaleGlendoraGoletaGood HopeGrand TerraceGranite HillsGrapelandGreen AcresGuadalupeHacienda HeightsHarbison CanyonHawaiian GardensHawthorneHelendaleHemetHermosa BeachHesperiaHi VistaHidden HillsHidden MeadowsHighgroveHighlandHighland ParkHillgroveHinkleyHollywoodHome GardensHomelandHope RanchHuntington BeachHuntington ParkIdyllwildIdyllwild-Pine CoveImperial BeachIndian WellsIndioInglewoodIrvineIrwindaleIsla VistaJamulJoshua TreeJurupa ValleyKoreatownKramer Junct",ion,LA,,United States,[],['billy@warank.com'],[],[],,"['Iron', 'Steel', 'Brass', 'Scrap Metal', 'Zinc', 'Electronic', 'Aluminum', 'Lead', 'Copper']",[],"Largest Scrap Metal Recycling in San Diego, CA by Industrial Scrap Metal, We are expert in Steel Recycling, Scrap Metal Recycling. Contact Industrial Scrap Metal for building demolishing and recycling."
Tapatio Auto and Truck Recycling - San Diego Locations,https://www.tapatioauto.com/san-diego-locations/,2327 Siempre Viva Ct,San Diego,CA,92154,United States,['(800) 388-9134'],[],[],[],,[],[],"We are located in the city of San Diego California, and we have 3 locations for your convenience including a pick your own used part facility."
Nevada JUNKYARDS & SALVAGE YARDS,https://www.rustysautosalvage.com/nevada.html,1030    Ford,Edge  Ye,AR,,United States,['(866) 439-4401'],[],[],[],,[],[],Our network of Nevada junkyards and auto salvage yards will pay you cash for your junk car on the spot and offer free junk car removal in all of NV.
circosta@circostametals.com,https://www.circostametals.com/,,,,,United States,['(415) 282-8568'],['circosta@circostametals.com'],[],[],,"['Iron', 'Scrap Metal']",[],Circosta Iron & Metal offers scrap metal recycling services in San Francisco. It is the largest recycling yard in Northern California
Gallery,https://atlasironandmetal.com/gallery/,10019 S Alameda Street,Los Angeles,CA,90002,United States,"['(323) 566-5184', '(800) 540-5184', '(566) 518-4800']",[],[],[],,"['Iron', 'Steel', 'Scrap Metal', 'Stainless Steel', 'Copper']",[],"View an image gallery provided by Atlas Iron & Metal Co. to see scrap yard metal recycling & disposal services in Los Angeles. We buy steel, aluminum, cooper & more."
"San Francisco Salvage Yards, CA",https://iscrapapp.com/scrap-yards/san-francisco-ca-salvage-yards/,2730 Peralta Street,Oakla,ND,,United States,[],[],[],[],,"['Iron', 'Steel', 'Catalytic Converter', 'Brass', 'Zinc', 'Battery', 'Stainless Steel', 'Aluminum', 'Lead', 'Auto Parts']",[],Make money from your car by scrapping it for cash. Find the auto part you need for repair and scrap metal prices with San Francisco salvage yards.
FREE Nationwide Part Locating and Shipping,http://www.tricountyautoparts.com/,"3116
950 Mission Rock Road",Santa Paula,CA,93060,United States,"['(805) 647-8440', '(805) 933-3116']",[],[],[],,"['Iron', 'Auto Parts']",[],
JunkYards inSan Francisco (California),https://usjunkyards.com/st-california/cy-san-francisco/ci-san-francisco/,"0 Reviews


                2895 3rd St",San Francis,CO,,United States,"['(888) 871-4488', '(888) 853-0481']",[],[],[],,"['Auto Parts', 'Scrap Metal']",[],"Explore detailed information on JunkYards near you in San Francisco, CA. Visit this page to locate car salvage yards where you can sell your car or find auto parts."
(775) 461-1280,http://www.recyclingnevada.com/,5855 Sheep Dr.,Carson City,NV,89701,United States,[],[],[],[],Business Hours Monday 8:00am - 4:00pm Tuesday 8:00am - 4:00pm Wednesday 8:00am - 4:00pm Thursday 8:00am - 4:00pm Friday 8:00am - 4:00pm Saturday 8:00am - 1:00pm Sunday Closed,"['Steel', 'Brass', 'Scrap Metal', 'Aluminum', 'Lead', 'Copper']",[],"Universal Service Recycling Provides Scrap Metal Recycling Services Throughout the Carson City, NV Area."
All Japanese Auto Parts inEast Los Angeles (CA),https://usjunkyards.com/st-california/cy-los-angeles/ci-east-los-angeles/yd-19908-all-japanese-auto-parts/,"2018
											









 
Adr",ian Di,AZ,,United States,"['(323) 564-7900', '(888) 853-0481']",[],[],[],,"['Iron', 'Auto Parts', 'Scrap Metal']",[],"All Japanese Auto Parts is located in the city of East Los Angeles, CA  ᐉ Contact information, reviews, photos, and opening hours are on our USJunkYards salvage yard database."
