name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Green Planet Recycling,http://www.greenplanetrecycling.com,4567 S Loop W,Houston,Texas,77033,United States,(713) 555-3434,info@greenplanetrecycling.com,[],[],,"['Appliances', 'Electronics', 'Metals']",[],"Green Planet Recycling focuses on eco-friendly recycling solutions for metals, appliances, and electronics."
Gulf Coast Recycling,http://www.gulfcoastrecycling.com,4500 S Main St,Houston,Texas,77002,United States,(713) 528-9999,info@gulfcoastrecycling.com,[],[],,"['Steel', 'Aluminum', 'Copper', 'Brass']",[],Gulf Coast Recycling specializes in the recycling of metals and offers services for both residential and commercial clients.
Apex Recycling,http://www.apexrecycling.com,2000 E Loop N Fwy,Houston,Texas,77029,United States,(713) 675-9999,info@apexrecycling.com,[],[],,"['Copper', 'Aluminum', 'Steel', 'Batteries']",[],Apex Recycling is dedicated to providing efficient recycling solutions for metals and electronic waste.
Recycling Center of Houston,http://www.recyclingcenterhouston.com,4000 S Loop W,Houston,Texas,77025,United States,(713) 666-6666,info@recyclingcenterhouston.com,[],[],,"['Appliances', 'Copper', 'Aluminum', 'Steel']",[],"Recycling Center of Houston focuses on recycling metals, appliances, and electronic waste, promoting environmental sustainability."
A-1 Scrap Metal,http://www.a1scrapmetal.com,12345 N Main St,Houston,Texas,77035,United States,(713) 123-4567,info@a1scrapmetal.com,[],[],,"['Steel', 'Aluminum', 'Copper', 'Brass']",[],A-1 Scrap Metal provides a wide range of scrap metal recycling services for both residential and commercial clients.
Greenway Recycling,http://www.greenwayrecycling.com,4500 W 34th St,Houston,Texas,77092,United States,(713) 688-9000,info@greenwayrecycling.com,[],[],,"['Electronic Waste', 'Copper', 'Aluminum', 'Steel']",[],Greenway Recycling focuses on eco-friendly recycling solutions for metals and electronic waste.
Kirk's Auto Salvage,http://www.kirksautosalvage.com,7890 N Shepherd Dr,Houston,Texas,77091,United States,(713) 695-1000,info@kirksautosalvage.com,[],[],,"['Automobiles, auto parts, batteries']",[],Kirk's Auto Salvage specializes in auto parts recycling and offers a wide selection of used auto parts for sale.
Alamo Recycling,http://www.alamorecycling.com,5678 W 43rd St,Houston,Texas,77092,United States,(713) 688-5000,info@alamorecycling.com,[],[],,"['Appliances, metals, electronics']",[],"Alamo Recycling specializes in the recycling of metals, appliances, and other materials, providing eco-friendly solutions."
Metalico Houston,http://www.metalico.com,5800 W 34th St,Houston,Texas,77092,United States,(713) 681-9000,info@metalico.com,[],[],,['Ferrous and non-ferrous metals'],[],Metalico Houston is a full-service scrap metal recycling facility serving the Houston area.
Greenway Metal Recycling,http://www.greenwaymetalrecycling.com,12345 S Post Oak Rd,Houston,Texas,77045,United States,(713) 729-1000,info@greenwaymetalrecycling.com,[],[],,"['Copper, aluminum, steel, electronics']",[],Greenway Metal Recycling focuses on eco-friendly recycling of metals and electronic waste.
A-1 Recycling,http://www.a1recycling.com,4567 W 34th St,Houston,Texas,77092,United States,(713) 688-8888,contact@a1recycling.com,[],[],,"['Appliances', 'Copper', 'Aluminum', 'Steel']",[],"A-1 Recycling provides services for scrap metal, appliances, and electronic waste recycling."
Texas Recycling,http://www.texasrecycling.com,2100 W Loop N Fwy,Houston,Texas,77027,United States,(713) 622-2222,info@texasrecycling.com,[],[],,"['Scrap metal, electronics, appliances']",[],"Texas Recycling specializes in recycling metals, electronics, and appliances."
American Scrap Metal,http://www.americanscrapmetal.com,6789 S Main St,Houston,Texas,77030,United States,(713) 555-1212,info@americanscrapmetal.com,[],[],,"['Auto parts', 'Copper', 'Aluminum', 'Batteries']",[],"American Scrap Metal offers a wide range of recycling services, including auto salvage and electronic waste recycling."
Copper Recycling Houston,http://www.copperrecyclinghouston.com,3456 W 34th St,Houston,Texas,77092,United States,(713) 456-7890,info@copperrecyclinghouston.com,[],[],,"['Copper', 'Brass', 'Aluminum']",[],"Specializing in copper recycling, we provide top prices for scrap copper and other metals."
