name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Dallas’ Trusted Source for Quality Used Auto Parts & Salvage Vehicles,https://aaaautorecyclers.com/,1753 S Beltline Rd,Dallas,TX,75253,United States,[],[],[],[],,['Auto Parts'],[],"Design a professional mechanic site with Avada. Showcase services, customer testimonials, and expertise effortlessly. Perfect for auto repair shops."
"Houston, Texas - 77049 Local Recycling Centers",https://recyclingcenters.org/Texas/Houston_77049_recycling_centers.php,"10217 Wallisville Rd
                                                                Houst",on,TX,77013,United States,[],[],[],[],,"['Appliance', 'Aluminum', 'Scrap Metal', 'Electronic', 'Iron']",[],"Houston, Texas 77049 Local Recycling Centers and Recycling Information and Statistics"
"A Premier Dumpster Rental and Scrap Metal Service in Houston, TX",https://www.essential-waste.com/,,,,,United States,['(713) 702-1860'],[],[],[],,"['Aluminum', 'Scrap Metal', 'Steel', 'Copper', 'Iron']",[],Efficient dumpster rental and disposal of scrap metals. Call now!
Global Leaders in Scrap Metal Recycling and Supply,https://goldstarmetals.com/,15911 Wood Drive,Channelview,TX,77530,United States,['(713) 633-6800'],[],[],[],,"['Brass', 'Aluminum', 'Lead', 'Scrap Metal', 'Steel', 'Copper', 'Iron']",[],"Gold Star Metals offers top scrap metal recycling services in Texas. We provide eco-friendly solutions to streamline operations, reduce waste, and maximize value."
A & R Scrap Metal Recycling CompanyScrap Metal Buyer in Dallas,https://www.armetalrecyclers.com/Dallas.html,,,,,United States,['(713) 410-8333'],[],[],[],,['Scrap Metal'],[],"A & R Scrap Metal Recycling Company, scrap metal buyer in Dallas, scrap metal recycler, recycle scrap metal, scrap metal prices, scrap buyer, Dallas, TX"
Get Paid for Aluminum Metal Recycling at Gulf Coast Scrap Metal,https://www.houstonaluminum.com/,"4111
8770 Hempstead Road",Houston,TX,77008,United States,['(713) 868-4111'],[],[],[],,"['Brass', 'Aluminum', 'Lead', 'Scrap Metal', 'Steel', 'Stainless Steel', 'Copper', 'Iron']",[],Aluminum recycling? Gulf Coast Scrap Metal specializes in scrap aluminum recycling. Call (713) 868-4111 today!
YOUR STEEL AND PIPEPARTNER IN ASSET RECOVERY,https://www.rcsteelandpipe.com/,,,,,United States,[],"['feinstein713-992-3676taylor@rcsteelandpipe.comconnect', 'stephen@rcsteelandpipe.com', 'feinstein713-459-8942stephen@rcsteelandpipe.comconnect']",[],[],,"['Iron', 'Steel']",[],"RC Steel and Pipe, your partner in steel and pipe asset recovery based in Houston, TX"
Houston Scrap Metal Removal ~ Texas,https://goloadup.com/houston/scrap-metal-removal/,5708 White Magnolia St.,Houston,TX,77091,United States,"['(844) 239-7711', '(404) 947-6060']",[],[],[],Monday – Sunday 8:00 AM – 8:00 PM EST,"['Appliance', 'Lead', 'Scrap Metal', 'Electronic', 'Iron']",[],"From heavy metal debris to old appliances, we haul it all in Houston, TX. Count on our background-checked team for reliable scrap metal removal and disposal."
Ace Scrap Metal Recycling Co.,https://acescrap.com/,,,,,United States,['(713) 643-9922'],[],[],[],,"['Brass', 'Aluminum', 'Scrap Metal', 'Stainless Steel', 'Copper', 'Steel']",[],
Residential Metal Recycling Services,https://cdscrapmetal.com/residential-metal-recycling/,6775 Bingle Road Houst,on,TX,77092,United States,"['(832) 743-6500', '(281) 524-4458', '(832) 786-8687']",[],[],[],,"['Appliance', 'Brass', 'Aluminum', 'Lead', 'Scrap Metal', 'Steel', 'Stainless Steel', 'Electronic', 'Copper', 'Iron']",[],"Recycle household appliances, brass fixtures, and more. Enjoy competitive pricing and friendly service at our four Houston locations. View our locations."
