name,website,description,phone,email,whatsapp,social_media,address,city,state,country,zip_code,latitude,longitude,working_hours,services,materials_accepted,pricing_info,certifications,years_in_business,languages,payment_methods,additional_services,search_query,search_page,source,data_completeness,scraped_at
Scrap Prices in New York,https://www.scrapmonster.com/scrap-yards/prices/new-york/state/3397,"Scrap Prices in New York. United States Scrap Metal Prices,Copper Scrap Price, Bronze Scrap, Aluminum Prices. Scrap Yards in New York",(961) 323-5326,info@scrapmonster.com,,"{'facebook': 'facebook.com/ScrapMonster""', 'twitter': 'twitter.com/scrapindustry""', 'instagram': 'instagram.com/scrapmonster_com', 'linkedin': 'linkedin.com/company', 'youtube': 'youtube.com/@ScrapMonster_com""', 'tiktok': 'tiktok.com/@scrapmonster.com""'}",,,,United States,,,,,['pickup'],"['copper', 'aluminum', 'steel', 'iron', 'brass', 'bronze', 'stainless steel', 'lead', 'zinc', 'nickel', 'tin', 'precious metals', 'gold', 'radiators', 'electric motors', 'wire', 'cast iron']",,,,,"['check', 'terms']",,scrap yard New York NY,3,Bing,66,2025-07-12T00:39:03.063400
Allocco Recycling,https://www.alloccorecycling.com/,"Allocco is New York's leading center for aggregate, scrap metal and construction debris recycling services. Our state-of-the-art, technology-driven facilities are equipped to handle your recycling needs quickly and efficiently.",(718) 349-3094,info@alloccorecycling.com,,,,,,United States,,,,,"['demolition', 'processing', 'environmental']","['aluminum', 'iron', 'lead', 'tin', 'electronic scrap']",,,40,(e,,,scrap yard New York NY,3,Bing,66,2025-07-12T00:39:03.181885
City Metal Traders,https://www.citymetaltraders.com/,"City Metal Traders guarantees highest price pickup, weigh and pay on your 
construction job or dropped off at our warehouse. Call 212-777-4100 today. 
We buy all grades of Copper, Insulated Wire, Brass, Aluminum and Stainless 
Steel. Guaranteed Highest Prices. Scrap Metal Pick up, Scrap Metal 
Recycling. We buy your Metal. Throughout NYC, 5 Boroughs, Westchester, Long 
Island, and New Jersey",(212) 777-4100,info@citymetaltraders.com,,"{'facebook': 'facebook.com/2008', 'instagram': 'instagram.com/citymetaltraders?igshid=YmMyMTA2M2Y="",""iconEnabled"":true,""serviceName"":""instagram-unauth""},{""serviceId"":60,""screenname"":""Facebook"",""addedOn"":1752012312332,""profileUrl"":""http:'}",,,,United States,,,,,"['pickup', 'collection', 'processing']","['copper', 'aluminum', 'steel', 'brass', 'stainless steel', 'tin', 'wire']",,,,""":""en-US"",""timeZone"":""America/New_York"",""machineTi","['check', 'terms']",,scrap metal merchants New York NY,4,Bing,66,2025-07-12T00:39:04.462716
Ekco Metals,https://www.ekcometals.com/,"With locations in Los Angeles and San Diego, Ekco Metals is a trusted scrap yard offering processing and recycling of ferrous and non-ferrous metals.",(323) 264-1615,,,"{'facebook': 'facebook.com/EKCO-METALS-310920582285152', 'linkedin': 'linkedin.com/company'}","2777 E Washington Blvd, Los Angeles, CA, 90023",,,United States,,,,,"['collection', 'roll-off', 'demolition', 'processing', 'commercial', 'industrial', 'licensed']","['copper', 'aluminum', 'steel', 'iron', 'brass', 'tin']",,['Licensed under'],1966,""":""en-US"",""potentialAction"":[{""@type"":""ReadAction""","['check', 'terms']",['provide pick-up service with our own fleet of trucks and bins of all sizes'],metal recycling center Los Angeles CA,2,Bing,66,2025-07-12T00:39:07.743802
Scrap Stop,https://myscrapstop.com/,"Scrap Stop is a licensed scrap yard located in LA County. Services that our recycling center provides are custom fit for businesses with non-ferrous metal scrap. Drop off your scrap at 20749 Prairie St Chatsworth, CA.",(818) 734-6654,vince@myscrapstop.com,,"{'facebook': 'facebook.com/scrapstop.recycling', 'linkedin': 'linkedin.com/in', 'youtube': 'youtube.com/embed'}",,,,United States,,,,,"['pickup', 'demolition', 'dismantling', 'commercial', 'industrial', 'licensed']","['copper', 'aluminum', 'steel', 'brass', 'bronze', 'stainless steel', 'tin', 'radiators', 'transformers', 'wire', 'computer scrap', 'coils']",,"['licensed scrap', 'licensed scrap']",,,"['cash', 'check']",,metal recycling center Los Angeles CA,2,Bing,66,2025-07-12T00:39:08.479473
Belson Steel Center Scrap Inc.,https://belsonsteel.com/,"Located in Bourbonnais, Illinois, Belson Steel Center Scrap, Inc. is a full-service scrap processor and recycling center.",(815) 932-7416,,,"{'facebook': 'facebook.com/BELSONSTEEL""', 'twitter': 'twitter.com/BelsonScrap""', 'youtube': 'youtube.com/embed'}","1685 N State Route 50, Bourbonnais, IL, 60914",,,United States,,,,,"['pickup', 'collection', 'container rental', 'demolition', 'residential', 'industrial']","['aluminum', 'steel', 'iron', 'lead', 'tin', 'electronic scrap']",,,,,"['cash', 'check', 'credit card']",['offer numerous aluminum products as well'],metal recycling center Chicago IL,5,Bing,66,2025-07-12T00:39:27.390922
Metal Scrap Yard,https://www.scrapmanchicago.com/metal-scrap-yard-chicago-heights-il,"Contact American Scrap Metal at (708) 239-0101 for top-quality metal recycling services. Get the best prices at our metal scrap yard near Chicago Heights, IL!",(708) 239-0101,americanscrapmetal@comcast.net,,"{'facebook': 'facebook.com/Scrapmanchicago', 'instagram': 'instagram.com/scrapmanchicago'}",,,,United States,,,,,"['pickup', 'collection', 'processing', 'sorting', 'industrial', 'environmental']","['copper', 'iron', 'tin']",,,,"'en',
        currentLocale: 'en',
        NavItem","['cash', 'check', 'terms']",,scrap yard Chicago IL,3,Bing,66,2025-07-12T00:39:28.402324
C&Y Global Holdings LLC,https://www.cyglobalusa.com/locations/scrap-metal-recycling-chicago.php,Pro Metal Recycling near Chicago focuses on the wholesale collection and export of all types of non-ferrous scrap metals.,(713) 534-6500,marketing@cyglobalusa.com,,,,,,United States,,,,,"['collection', 'processing', 'industrial']","['copper', 'aluminum', 'steel', 'brass', 'stainless steel', 'lead', 'tin', 'radiators', 'wire']",,,,,['check'],,copper scrap buyers Chicago IL,4,Bing,66,2025-07-12T00:39:34.891590
Home,https://www.empirerecycling.com/syracuse/,,(315) 476-0800,joep@empirerecycling.com,,"{'facebook': 'facebook.com/empireseneca', 'twitter': 'twitter.com/empiresyrprices""'}",,,,United States,,,,,['commercial'],"['copper', 'aluminum', 'steel', 'brass', 'tin', 'pipes']",,,,,"['cash', 'check']",,metal recycling center New York NY,3,Bing,58,2025-07-12T00:39:01.422590
Adam Weitsman,https://www.adamweitsman.com/recycling,"Adam Weitsman is the CEO of Upstate Shredding — Weitsman Recycling, the 
East Coast’s largest privately held scrap metal processor.",(607) 687-7777,,,"{'facebook': 'facebook.com/2008', 'twitter': 'twitter.com/AdamWeitsman"",""iconEnabled"":true,""serviceName"":""twitter-unauth""},{""serviceId"":65,""screenname"":""LinkedIn"",""addedOn"":1678245491131,""profileUrl"":""https:', 'instagram': 'instagram.com/adamweitsman"",""iconEnabled"":true,""serviceName"":""instagram-unauth""},{""serviceId"":60,""screenname"":""Facebook"",""addedOn"":1678021333624,""profileUrl"":""https:', 'linkedin': 'linkedin.com/in', 'youtube': 'youtube.com/@theadamweitsman"",""iconEnabled"":true,""serviceName"":""youtube-unauth""}],""typekitId"":"""",""statsMigrated"":false,""imageMetadataProcessingEnabled"":false,""screenshotId"":""6c6bccdd5b39132f0d5a1a1220f5edff262743c792eade96e2ef2446d07aeee0"",""captchaSettings"":{""enabledForDonations"":false},""showOwnerLogin"":false},""websiteSettings"":{""id"":""640492d5e7688f799b5e2e9c"",""websiteId"":""640492d5e7688f799b5e2e98"",""subjects"":[],""country"":""US"",""state"":""NY"",""simpleLikingEnabled"":true,""mobileInfoBarSettings"":{""isContactEmailEnabled"":false,""isContactPhoneNumberEnabled"":false,""isLocationEnabled"":false,""isBusinessHoursEnabled"":false},""commentLikesAllowed"":true,""commentAnonAllowed"":true,""commentThreaded"":true,""commentApprovalRequired"":false,""commentAvatarsOn"":true,""commentSortType"":2,""commentFlagThreshold"":0,""commentFlagsAllowed"":true,""commentEnableByDefault"":true,""commentDisableAfterDaysDefault"":0,""disqusShortname"":"""",""commentsEnabled"":false,""storeSettings"":{""returnPolicy"":null,""termsOfService"":null,""privacyPolicy"":null,""expressCheckout"":false,""continueShoppingLinkUrl"":""', 'tiktok': 'tiktok.com/@adamweitsman"",""iconEnabled"":true,""serviceName"":""tiktok-unauth""},{""serviceId"":83,""screenname"":""Threads"",""addedOn"":1701117619112,""profileUrl"":""https:'}",,,,United States,,,,,"['collection', 'processing', 'commercial', 'environmental']","['steel', 'iron', 'lead', 'tin']",,"['certified company', 'EPA and']",,""":""en-US"",""timeZone"":""America/New_York"",""machineTi","['check', 'terms']",,scrap yard New York NY,3,Bing,58,2025-07-12T00:39:02.300507
North Shore Recycling,https://www.nsrecycling.com/about-us/,"Scrap Metal Prices, scrap iron, aluminum, copper, brass, tin cans, copper bearing scrap, electric motors, fuel storage tanks, appliances, steel, scrap yards",(516) 623-4521,,,"{'facebook': 'facebook.com/nsrecyclinginc"">', 'twitter': 'twitter.com/NorthShoreRecyc"">'}",,,,United States,,,,,"['processing', 'commercial', 'industrial']","['copper', 'aluminum', 'steel', 'iron', 'brass', 'stainless steel', 'lead', 'zinc', 'nickel', 'tin', 'electric motors']",,,,""":""en"",""potentialAction"":[{""@type"":""ReadAction"",""t",['check'],['offer box truck pick up for all commercial nonferrous metals'],metal recycling center New York NY,3,Bing,58,2025-07-12T00:39:02.373945
Wilbert's U,https://www.wilberts.com/u-pull-it/,"Wilbert's U-Pull It is an auto salvage yard in Williamson NY, outside of Rochester NY. It is a self service U-pull it used auto parts salvage yard.",(315) 589-2222,,,"{'facebook': 'facebook.com/tr?id=1081204589566731&amp;ev=PageView&amp;noscript=1""', 'instagram': 'instagram.com/wilbertsupullit""', 'youtube': 'youtube.com/iframe_api"";', 'tiktok': 'tiktok.com/@wilbertsupullit""'}",,,,United States,,,,,"['collection', 'same day', 'licensed']",['tin'],,['Licensed under'],,""":""en-US"",""potentialAction"":[{""@type"":""ReadAction""","['cash', 'check']",,scrap yard New York NY,3,Bing,58,2025-07-12T00:39:04.369495
Department of Environmental Conservation,https://dec.ny.gov/environmental-protection/waste-management/solid-waste-management-facilities/household-hazardous-waste-collection-facilities,"Conservationistis packed with informative articles, first-rate photography and stunning artwork.",(518) 402-8678,,,"{'facebook': 'facebook.com/sharer', 'instagram': 'instagram.com/nysdec', 'linkedin': 'linkedin.com/company', 'youtube': 'youtube.com/user'}",,,,United States,,,,,"['collection', 'demolition', 'dismantling', 'processing', 'commercial', 'environmental', 'hazardous waste']","['iron', 'tin']",,,,=en&amp;theme=gesso&amp;include=eJxFjVkOQiEQBC9EHk,['check'],,waste metal collection New York NY,5,Bing,58,2025-07-12T00:39:04.566287
Department of Environmental Conservation,https://dec.ny.gov/environmental-protection/recycling-composting/electronic-waste-recycling,"NYS consumers are required to recycle many electronic waste items, such as computers, computer peripherals, televisions, small scale servers, and small electronic equipment, etc., in an environmentally responsible manner.",(518) 402-8706,,,"{'facebook': 'facebook.com/sharer', 'instagram': 'instagram.com/nysdec', 'linkedin': 'linkedin.com/company', 'youtube': 'youtube.com/user'}",,,,United States,,,,,"['collection', 'commercial', 'environmental', 'hazardous waste']","['iron', 'tin', 'wire']",,,,=en&amp;theme=gesso&amp;include=eJxFjW0KQyEMBC8kzy,['check'],,waste metal collection New York NY,5,Bing,58,2025-07-12T00:39:05.098146
Department of Environmental Conservation,https://dec.ny.gov/environmental-protection/waste-management/solid-waste-types/used-electronic-equipment/hazardous-waste-notification-forms,"Conservationistis packed with informative articles, first-rate photography and stunning artwork.",(518) 402-8652,,,"{'facebook': 'facebook.com/sharer', 'instagram': 'instagram.com/nysdec', 'linkedin': 'linkedin.com/company', 'youtube': 'youtube.com/user'}",,,,United States,,,,,"['collection', 'dismantling', 'processing', 'commercial', 'environmental', 'hazardous waste']","['steel', 'iron', 'lead', 'tin', 'precious metals', 'circuit boards', 'pipes']",,['EPA in'],,=en&amp;theme=gesso&amp;include=eJwtzEsOgCAMRdENEV,['check'],,waste metal collection New York NY,5,Bing,58,2025-07-12T00:39:07.537144
Copper Recycling,https://atlasironandmetal.com/copper-recycling/,Get top payouts and expert service with copper recycling at Atlas Iron & Metal. We handle all project sizes at our Los Angeles facility or your location.,(323) 566-5184,,,"{'facebook': 'facebook.com/AtlasIronMetal?ref=hl""', 'twitter': 'twitter.com/Atlas_IronMetal""', 'instagram': 'instagram.com/atlasironandmetal', 'youtube': 'youtube.com/channel'}",,,,United States,,,,,"['demolition', 'processing', 'weighing', 'industrial', 'environmental']","['copper', 'aluminum', 'aluminium', 'steel', 'iron', 'lead', 'tin', 'transformers', 'wire']",,,1949,""":""en-US"",""potentialAction"":[{""@type"":""ReadAction""","['check', 'terms']",,metal recycling center Los Angeles CA,3,Bing,58,2025-07-12T00:39:14.769126
sarecycling,https://www.sarecycling.com/,Your car still has VALUE. If you have an old car or damaged car that you’re ready to get rid of. WE WILL PAY CASH FOR IT TODAY!,(214) 748-3647,,,"{'facebook': 'facebook.com/tr?id=816163284051407&amp;ev=PageView&amp;noscript=1""', 'twitter': 'twitter.com/1800GotScrap""', 'instagram': 'instagram.com/sarecycling', 'linkedin': 'linkedin.com/company', 'youtube': 'youtube.com/channel'}",,,,United States,,,,,"['collection', 'demolition', 'dismantling', 'processing', 'industrial']","['copper', 'aluminum', 'steel', 'iron', 'brass', 'lead', 'tin']",,"['Certified Destruction', 'Certified Destruction', 'Certified Destruction']",,""":""en-US"",""potentialAction"":{""@type"":""SearchAction","['cash', 'check', 'terms']",,metal scrap dealers Los Angeles CA,5,Bing,58,2025-07-12T00:39:19.893930
