name,phone,email,website,address,city,state,country,materials_accepted,data_completeness,source,scraped_at
Vehicle Inventory :: U,(614) 444-5888,sales@upartit.com,http://www.upartit.com/vehicles.html,"2338 Refugee Road</span><span class=""divider"">",,OH,United States,,100,Bing,2025-07-12T01:25:46.565150
"Junk Cars Buyers in  Columbus, Ohio , Best Car Scrap Price Quotes",(614) 450-1532,info@scrapmonster.com,https://www.scrapmonster.com/junk-car-buyers/ohio/columbus,,,,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:51.583926
"ᐉ Scrap Metal Yards and Dealers in Columbus – Prices, Locations",(614) 443-0909,admin-contacted@proton.me,https://metalrecap.com/columbus-oh/,"3325 N High St""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:51.668257
ᐉ Southern Metals Co,(704) 394-3161,admin-contacted@proton.me,https://metalrecap.com/southern-metals-co-charlotte/,2200 Donald Ross Rd,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:25:53.057056
"Top Junk Car Buyers in Columbus, Ohio",(614) 440-1222,info@columbusjunkcarsexpress.com,https://columbusjunkcarsexpress.com/,5 Ways Selling Your Junk Car Can Boost Your Homeâs Curb Appeal&quot;],,,United States,"['iron', 'scrap metal']",100,Bing,2025-07-12T01:25:53.369381
Denver,(303) 389-4800,denver@atlasmetal.com,https://www.atlasmetalandiron.com/denver/,1100 Umatilla St. open 7am-4pm. Gates close at 4pm weekdays,Denver,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass']",100,Bing,2025-07-12T01:26:07.349660
"Can Land Recycling Center, 6141 Federal Blvd, Denver, CO 80221, US",(720) 386-3127,help@mapquest.com,https://www.mapquest.com/us/colorado/can-land-recycling-center-276216413,"4235 Redwood Ave.""",Denver,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:26:07.728446
A Street Scrap Metal Corp.,(617) 268-8200,imcolinburns@hotmail.com,https://www.scrapmonster.com/scrap-yard/a-street-scrap-metal-corp/53310,29 A Street,,,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:26:12.035850
"ᐉ Scrap Metal Yards and Dealers in Chicopee – Prices, Locations",(413) 532-5315,admin-contacted@proton.me,https://metalrecap.com/chicopee-ma/,"651 Center St""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:26:13.004391
"Sell Junk Cars For Cash, Junk Car Buyers Brooklyn NY",(718) 768-8884,junkman025@gmail.com,https://www.antonjunicic.com/,"776 3rd Avenue""",Brooklyn,NY,United States,,90,Bing,2025-07-12T01:24:49.290951
Container Frequently Asked Questions,(858) 694-7000,trash@sandiego.gov,https://www.sandiego.gov/environmental-services/collection/general/containerfaqs,25 per container does continue to apply when residents request delivery of recycling containers. Residents can avoid this delivery fee if they pick up,San Diego,CA,United States,['iron'],90,Bing,2025-07-12T01:25:18.616171
"Coin Dealer San Jose, CA",(408) 266-2500,sjcoinshop@aol.com,https://www.sjcoinshop.com/,1084 Meridian Avenue,San Jose,CA,United States,['scrap metal'],90,Bing,2025-07-12T01:25:22.511722
"Spiegel Scrap Metal Inc – Brockton, MA – Scrap Metal Recycling",(508) 897-0008,info@spiegelscrapmetal.com,https://www.spiegelscrapmetal.com/,20 Years of Business Built on Trust </h2>,,MA,United States,['scrap metal'],90,Bing,2025-07-12T01:26:13.458807
Scrap Metal Long Island,(631) 694-8188,,https://www.twobrothersscrapmetal.com/,12 Sarah Drive,Farmingdale,NY,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:24:47.098609
Iron & Steel Scrap in or near California,(704) 366-7000,,https://www.thomasnet.com/suppliers/southern-california/all-cities/iron-steel-scrap-4382,6535 Stanford Ave,Los Angeles,CA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:24:54.112113
Belson Steel Center Scrap,(815) 932-7416,,https://belsonsteel.com/,1960 as a small scrap yard with one truck and a lean-to,Bourbonnais,IL,United States,"['aluminum', 'steel', 'iron', 'scrap metal']",70,Bing,2025-07-12T01:24:54.238560
About Atlas Iron & Metal Co.,(323) 566-5184,,https://atlasironandmetal.com/about-us/,10019 S Alameda Street,Los Angeles,CA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:24:56.429205
Scrap Metal Recycling,(815) 722-0200,,https://aarecycles.com/recycling-services-chicago/,,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:24:59.996603
Houston Scrap Metal,(281) 869-3900,,https://houstonscrapmetal.co/,11801 W Montgomery Road,Houston,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:25:02.476489
Scrap Metal Buying,(701) 355-5853,,https://www.ashleysteelandsalvage.com/scrap-metal,"3 standard"">",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:25:12.955605
Scrap Metal Removal & Recycling,(214) 748-3647,,https://www.1800gotjunk.com/us_en/locations/junk-removal-sandiego/scrap-metal-pickup,,,,United States,"['iron', 'scrap metal']",70,Bing,2025-07-12T01:25:15.741501
Allan Company Recycling Services,(626) 962-4047,,https://www.allancompany.com/,14618 Arrow Highway<br/>Baldwin Park,Fresno,CA,United States,,70,Bing,2025-07-12T01:25:16.596888
Danny Recycling Inc,(408) 492-9033,,https://www.dannyrecyclinginc.com/,"2 Standard""",Santa Clara,CA,United States,"['copper', 'aluminum']",70,Bing,2025-07-12T01:25:34.005085
Main Metal Recycling,(904) 354-3708,,https://www.recyclingmonster.com/recycling-center/main-metal-recycling/33778,1352 W Beaver Street  ,,,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:25:37.086058
Big Iron Recycling – Jacksonville's Leader In Commercial Recycling,(904) 384-4040,,https://bigironrecycling.com/,5 ast-header-custom-item-inside ast-full-width-primary-header ast-single-post ast-mobile-inherit-site-logo ast-inherit-site-logo-transparent ast-theme,Jacksonville,FL,United States,"['iron', 'scrap metal']",70,Bing,2025-07-12T01:25:38.198177
North Main Recycling,(817) 624-8897,,https://www.recyclingmonster.com/recycling-center/north-main-recycling/37550,3520 N Main St,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:25:40.649612
Lone star metals,(817) 534-7161,,https://www.recyclingmonster.com/recycling-center/lone-star-metals/34022,1401 East Stella,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'scrap metal']",70,Bing,2025-07-12T01:25:41.265913
Gold Star Metals: Premier Scrap Metal Recycling in Texas,(713) 633-6800,,https://goldstarmetals.com/,1 ast-single-post ast-inherit-site-logo-transparent ast-theme-transparent-header ast-hfb-header elementor-default elementor-kit-7 elementor-page eleme,Channelview,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:25:42.849329
Columbus Ohio Scrap Yards,(614) 252-1188,,https://ihsrecycling.com/find-a-scrap-yard/,1041 Joyce Avenue Columbus,Joyce Avenue Columbus,OH,United States,"['iron', 'scrap metal']",70,Bing,2025-07-12T01:25:49.695984
"Current Scrap Metal Prices in Charlotte, North Carolina Page 1",(363) 586-9624,,https://www.recyclingmonster.com/scrap-metal-price/united-states/north-carolina/charlotte/128,,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:25:53.427869
Home,(303) 781-6779,,https://www.candmironandmetal.com/,2390 W Hampden Ave,Sheridan,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:26:03.432466
Scrap Metal Buyers & Recycling in Denver,(720) 204-8107,,https://scrapvisor.com/colorado/denver/,3 Scrapyard</span>,Denver,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:26:04.881553
Non,(864) 693-1590,,https://www.patriotfoundry.com/,385 Torrington Rd,Clinton,SC,United States,"['copper', 'aluminum', 'steel', 'iron']",70,Bing,2025-07-12T01:26:14.339722
"Steel,Aluminum,Nickel,Rare earth,new energy,Copper Prices Charts and news",,lineservice.en@smm.cnHow,https://www.metal.com/,"2022 Inflation Reduction Act (IRA).""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'scrap metal']",70,Bing,2025-07-12T01:26:15.059987
Scrap Metal Recycling Made Easy,,glninfo@gerdau.com,https://www2.gerdau.com/metals-recycling,"12 contact-us-input"">",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:26:17.621938
N H Kelman Inc Home,(890) 399-4012,,https://www.recycleinme.com/rim-nhkelman/home,"8 acre facility we have..."">",,,United States,"['copper', 'steel', 'brass', 'scrap metal']",60,Bing,2025-07-12T01:24:48.556087
City of Chicago :: Find a Residential Recycling Drop Off Center,(312) 744-4611,,https://www.chicago.gov/city/en/depts/streets/supp_info/recycling1/find_a_residentialrecyclingdropoffcenter.html,"2 trust-seal-link-container' data-target=""#trust-seal-content"" data-toggle=""collapse"" >",Chicago,IL,United States,['iron'],60,Bing,2025-07-12T01:24:59.631996
Hazardous Waste Disposal,(858) 694-7000,,https://www.sandiego.gov/environmental-services/geninfo/faq/hazardous,90 auto product and oil change businesses within the City of San Diego are state-certified used motor oil collection centers. Many of these centers co,,,United States,['iron'],60,Bing,2025-07-12T01:25:16.962260
Recycling,(619) 597-7437,,http://www.rileyrecycling.com/,2817 Main St,Chula Vista,CA,United States,"['aluminum', 'steel', 'iron', 'scrap metal']",60,Bing,2025-07-12T01:25:18.040122
C&Y Global Holdings LLC,(713) 534-6500,,https://www.cyglobalusa.com/,,Houston,TX,United States,"['copper', 'aluminum', 'brass', 'scrap metal']",60,Bing,2025-07-12T01:25:18.830631
Austin Pick a Part & Auto Salvage,(512) 926-2002,,http://austinusedautoparts.com/,,,TX,United States,,60,Bing,2025-07-12T01:25:34.702364
"Map and Directions tochicago scrap metalbuyers inChicago,IL…",(312) 450-9631,,https://www.bing.com/ck/a?!&&p=ebfaa378c3f9f563d014431e1d0750067405728ab57556e2a120b8d59b38ae0bJmltdHM9MTc1MjE5MjAwMA&ptn=3&ver=2&hsh=4&fclid=302770a2-9fae-6101-3362-66849e9360da&u=a1aHR0cHM6Ly93d3cubWVyY2hhbnRjaXJjbGUuY29tL2J1c2luZXNzL2NoaWNhZ28uc2NyYXAubWV0YWwuYnV5ZXJzLjMxMi00NTAtOTYzMQ&ntb=1,,,,United States,,40,Bing,2025-07-12T01:24:54.379820
"Danny's MetalRecyclinginSan Antonio,TX78211 - (210) 9...",(201) 312-1529,,https://www.bing.com/ck/a?!&&p=c26ad66ed839ffd9536ce66f897210e5b19847ace0e36971afa42b8f8b774475JmltdHM9MTc1MjE5MjAwMA&ptn=3&ver=2&hsh=4&fclid=302770a2-9fae-6101-3362-66849e9360da&u=a1aHR0cHM6Ly93d3cuY2hhbWJlcm9mY29tbWVyY2UuY29tL3VuaXRlZC1zdGF0ZXMvdGV4YXMvc2FuLWFudG9uaW8vcmVjeWNsaW5nLWNlbnRlci8yMDEzMTIxNTI5LWRhbm55LXMtbWV0YWwtcmVjeWNsaW5n&ntb=1,,,,United States,,40,Bing,2025-07-12T01:25:11.568951
Scrap metalwasher dryer combo - free stuff - craigslist,(786) 336-4912,,https://www.bing.com/ck/a?!&&p=60f32ea2c35e14ced8c54236c202125a44a07fc944ee62f6843eb560c43b020eJmltdHM9MTc1MjE5MjAwMA&ptn=3&ver=2&hsh=4&fclid=302770a2-9fae-6101-3362-66849e9360da&u=a1aHR0cHM6Ly93YXNoaW5ndG9uZGMuY3JhaWdzbGlzdC5vcmcvbWxkL3ppcC9kL3BvdG9tYWMtc2NyYXAtbWV0YWwtd2FzaGVyLWRyeWVyLWNvbWJvLzc4NjMzNjQ5MTIuaHRtbA&ntb=1,,,,United States,,40,Bing,2025-07-12T01:26:10.009053
"Worldwidebuyersinc inHouston,TX77084 - 713-257...",(201) 204-5815,,https://www.bing.com/ck/a?!&&p=2a73b42bbf034e42b7964e24ce0a5c63411b24ae5077fa7a37597aa99be87395JmltdHM9MTc1MjE5MjAwMA&ptn=3&ver=2&hsh=4&fclid=302770a2-9fae-6101-3362-66849e9360da&u=a1aHR0cHM6Ly93d3cuY2hhbWJlcm9mY29tbWVyY2UuY29tL2J1c2luZXNzLWRpcmVjdG9yeS90ZXhhcy9ob3VzdG9uL2VxdWlwbWVudC1pbXBvcnRlci8yMDEyMDQ1ODE1LXdvcmxkd2lkZWJ1eWVyc2luYw&ntb=1,,,,United States,,30,Bing,2025-07-12T01:25:01.642213
