name,phone,email,website,address,city,state,country,materials_accepted,data_completeness,source,scraped_at
Denver,(303) 389-4800,denver@atlasmetal.com,https://www.atlasmetalandiron.com/denver/,1100 Umatilla St. open 7am-4pm. Gates close at 4pm weekdays,Denver,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass']",100,Bing,2025-07-12T01:04:43.269180
Berwick Iron and Metal Recycling,(207) 698-9933,bimr@berwickiron.comcastbiz.net,https://www.berwickironandmetalrecycling.com/,"3 standard"">",Berwick,ME,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:47.895974
A Street Scrap Metal Corp.,(617) 268-8200,imcolinburns@hotmail.com,https://www.scrapmonster.com/scrap-yard/a-street-scrap-metal-corp/53310,29 A Street,,,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:47.987646
Top 10 Auto Salvage Yards in Detroit MI,(313) 931-2200,carowner@preferredmechanic.com,https://preferredmechanic.com/salvage-junk-yards/detroit-wayne-mi/,8951 Alpine St,Roseville,CA,United States,,100,Bing,2025-07-12T01:04:54.114025
"Junkyards in Detroit, Michigan",(313) 358-0309,support@junkcarsus.com,https://junkcarsus.com/salvage-yards/detroit-mi,5925 Caniff St</div>,Detroit,MI,United States,['iron'],100,Bing,2025-07-12T01:04:57.057908
"ᐉ Scrap Metal Yards and Dealers in Detroit – Prices, Locations",(313) 841-5550,admin-contacted@proton.me,https://metalrecap.com/detroit-mi/,"8837 Lyndon St""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:57.340562
Import Auto Salvage Parts & Autos,(972) 843-0421,sales@importsalvageparts.com,http://importsalvageparts.com/,1500 West FM 6 Nevada,Nevada,TX,United States,,90,Bing,2025-07-12T01:04:13.074129
Home,(214) 689-4300,myCMC-logo@2x.png,https://www.cmcrecycling.com/,"100 list-unstyled d-flex justify-content-end align-items-center overflow-hidden"">",,,United States,"['copper', 'steel', 'scrap metal']",90,Bing,2025-07-12T01:04:21.511621
Recently Purchased Salvage Vehicles,(720) 922-7827,silable539@yahoo.com,https://usedautopartsdenver.co/new-arrivals,,Denver,CO,United States,,90,Bing,2025-07-12T01:04:46.378526
Trenton Auto Parts :: Used Auto Parts & Junk Yard,(734) 283-0303,trenton_auto@yahoo.com,http://www.trentonautosalvage.net/,,Trenton,MI,United States,,90,Bing,2025-07-12T01:04:57.287453
North Florida Recycling,(904) 910-3302,diane@northfloridarecycling.com,https://northfloridarecycling.com/,,,,United States,['iron'],80,Bing,2025-07-12T01:04:22.085225
Iron & Steel Scrap in or near New York,(718) 643-0878,,https://www.thomasnet.com/suppliers/metro-new-york/all-cities/iron-steel-scrap-4382,"141 Atlantic Ave.""",Brooklyn,NY,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:03:52.935649
Gershow Recycling Facility,,swhitfield@mastergard.com,https://www.gershow.com/,"2011 John Davenport Scheuer
   as first seen in https://www.dynamicdrive.com/forums/",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:03:53.367548
"Plastic Recycling Centers in Los Angeles, California",(323) 680-5551,,https://www.recyclingmonster.com/recycling-centers/plastic/united-states/california/los-angeles/170/179,"2 yard-item_logo""><div class=""companylogo align-middle m-2"">",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:03:55.215728
Gold Star Metals: Premier Scrap Metal Recycling in Texas,(713) 633-6800,,https://goldstarmetals.com/,1 ast-single-post ast-inherit-site-logo-transparent ast-theme-transparent-header ast-hfb-header elementor-default elementor-kit-7 elementor-page eleme,Channelview,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:04:08.020845
Recycling Center Austin,(512) 834-8500,,https://locator.wastebits.com/location/recycling-center-austin,9405 Dessau Rd,Austin,TX,United States,['iron'],70,Bing,2025-07-12T01:04:20.755679
Copper Recycling Services,(512) 477-4640,,https://austinmetalandiron.com/copper-recycling-from-austin-metal,"1000 East 4th St""",Austin,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:04:20.941688
Residential Recycling Collection,(512) 494-9400,,https://www.austintexas.gov/recycling,,,,United States,"['aluminum', 'steel', 'iron']",70,Bing,2025-07-12T01:04:23.530786
Jax Scrap Metal Recycling,(904) 997-7096,,https://locator.wastebits.com/location/jax-scrap-metal-recycling,10931 Beach Blvd,Jacksonville,FL,United States,"['iron', 'scrap metal']",70,Bing,2025-07-12T01:04:28.700950
"Jacksonville, FL",(904) 354-3708,,https://dj-prod-web-tmr-01.azurewebsites.net/jacksonville-fl/,,Jacksonville,FL,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:04:30.012988
Scrap Metal Buyers & Recycling in Colorado,(720) 204-8107,,https://scrapvisor.com/colorado/,18 Scrapyard</span>,Denver,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:04:43.525615
Home,(303) 781-6779,,https://www.candmironandmetal.com/,2390 W Hampden Ave,Sheridan,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:04:43.662856
United Scrap Metal Buyers and Recyclers – Committed to Making a Positive Impact in the Lives of Othe,(708) 780-6800,,https://unitedscrap.com/,1545 S Cicero Avenue,Cicero,IL,United States,['scrap metal'],70,Bing,2025-07-12T01:04:48.241597
About Us,(617) 389-7213,,https://scrapitus.com/about-us,,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:04:49.741132
"Detroit Scrap Metal Recycling, Chesterfield Twp, MI Recycler",(313) 831-3696,,https://www.cityrecyclinginc.com/index.php,"0 Strict//EN"" ""http://www.w3.org/TR/xhtml1/DTD/xhtml1-strict.dtd"">",Detroit,MI,United States,"['copper', 'aluminum', 'steel', 'iron', 'scrap metal']",70,Bing,2025-07-12T01:04:57.296745
Copper Recycling,,sikorametals@hotmail.com,https://www.sikorametals.com/faq/,18 years of age and are required to have valid state-issued ID. Customers will be required to give a thumbprint and sign a form declaring they are aut,Detroit,MI,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:04:59.408515
Detroit Iron & Metal Co,(701) 652-6858,,https://www.detroitironandmetal.com/,"3 standard"">",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T01:05:01.120700
Stark Recycling,(214) 412-5937,,http://www.starkrecycling.com/,,Dallas,TX,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",60,Bing,2025-07-12T01:04:15.216836
Ace Iron & Metal Home,(890) 399-4012,,https://www.recycleinme.com/rim-aceironrec/home,,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass']",60,Bing,2025-07-12T01:04:36.112333
