name,address,city,state,zip_code,latitude,longitude,phone,email,website,primary_metal_types,services_offered,country,metal_types,services,hours,business_type,rating,source,scraped_at,shop_type,data_completeness,contact_quality,opening_hours,all_metal_types_count,specialization_score,business_size_estimate,market_tier,outreach_priority,competitive_advantage,local_competition_level,market_opportunity,expansion_potential,county,services_count,pickup_service,container_rental,demolition_service,processing_capabilities,certified_scales,business_hours,operation_schedule,facility_size,employee_estimate,website_quality,pricing_available,pricing_info,social_media_presence,online_reviews_count,average_rating,payment_methods,commercial_accounts,established_year,certifications,licenses,environmental_compliance,bbb_rating
Atlantic Recycling Center,1000 Manufacturing Road,San Antonio,TX,78270,29.449528,-98.451425,(210) 279-7577,info@atlanticrecyclingcen.com,https://www.atlanticrecyclingcen.com,"Electronic Waste, Copper, Aluminum",Basic Recycling,United States,"['Electronic Waste', 'Copper', 'Aluminum', 'Steel', 'Precious Metals']","['Container Rental', 'Demolition', 'Commercial Accounts', 'Cash Payment']",Mon-Sat: 8:00 AM - 5:00 PM,Scrap Metal Dealer,4.8,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,93,5,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",5,Medium,Medium,Tier 1 (Major Metro),High,Standard Operations,Medium,Balanced Market,High (Underserved),To Be Determined,0,No,No,No,No,No,Mon-Sat: 8:00 AM - 5:00 PM,Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Diamond Metal Recovery,3289 Industrial Boulevard,Denver,CO,80263,39.773511,-105.011451,(303) 529-4422,info@diamondmetalrecovery.com,https://www.diamondmetalrecovery.com,"Copper, Aluminum, Brass",Basic Recycling,United States,"['Copper', 'Aluminum', 'Brass', 'Stainless Steel']","['Processing', 'Sorting', 'Container Service', 'Scrap Processing']","Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",Metal Recycling Center,4.9,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,98,5,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",4,Medium,Medium,Tier 3 (Regional),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Enhanced,Not Rated
Crown Metal Buyers,9733 Scrap Circle,Los Angeles,CA,90001,34.025359,-118.244707,(213) 902-2494,info@crownmetalbuyers.com,https://www.crownmetalbuyers.com,"Electronic Waste, Copper, Aluminum",Basic Recycling,United States,"['Electronic Waste', 'Copper', 'Aluminum', 'Steel', 'Precious Metals']","['Processing', 'Sorting', 'Container Service', 'Scrap Processing']","Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Scrap Metal Dealer,3.9,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,93,5,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",5,Medium,Medium,Tier 1 (Major Metro),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Iron Works Scrap,4732 Metal Drive,Indianapolis,IN,46248,39.750149,-86.123954,(317) 921-1018,info@ironworksscrap.com,https://www.ironworksscrap.com,"Copper, Aluminum, Brass",Basic Recycling,United States,"['Copper', 'Aluminum', 'Brass', 'Stainless Steel']","['Industrial Cleanup', 'Metal Processing', 'Certified Scales', 'Transportation']","Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Auto Salvage,4.7,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,93,5,Mon-Sat: 8:00 AM - 5:00 PM,4,Medium,Medium,Tier 3 (Regional),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Industry Certified,Standard Operation,Standard,Not Rated
Atlantic Recycling Center,5955 Factory Way,Seattle,WA,98125,47.561392,-122.316418,(206) 390-2675,info@atlanticrecyclingcen.com,https://www.atlanticrecyclingcen.com,"Steel, Iron, Aluminum",Basic Recycling,United States,"['Steel', 'Iron', 'Aluminum', 'Copper']","['Pickup Service', 'Container Rental', 'Metal Processing', 'Certified Scales']","Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Auto Salvage,4.7,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,98,5,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",4,Medium,Medium,Tier 3 (Regional),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Industry Certified,Standard Operation,Standard,Not Rated
Advanced Metal Processing,9542 Manufacturing Boulevard,Birmingham,AL,35268,33.565287,-86.814866,(205) 938-1349,info@advancedmetalprocess.com,https://www.advancedmetalprocess.com,"Copper, Aluminum, Brass",Basic Recycling,United States,"['Copper', 'Aluminum', 'Brass', 'Stainless Steel']","['Auto Dismantling', 'Electronic Recycling', 'Weighing Services', 'Transportation']","Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Auto Salvage,4.0,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,95,5,Mon-Sat: 8:00 AM - 5:00 PM,4,Medium,Medium,Tier 3 (Regional),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Precision Metal Recovery,6631 Copper Street,Nashville,TN,37213,36.180569,-86.803586,(615) 520-9096,info@precisionmetalrecove.com,https://www.precisionmetalrecove.com,"Steel, Iron, Aluminum",Basic Recycling,United States,"['Steel', 'Iron', 'Aluminum', 'Copper']","['Processing', 'Sorting', 'Container Service', 'Scrap Processing']",Mon-Sat: 8:00 AM - 5:00 PM,Industrial Recycling,3.9,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,98,5,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",4,Medium,Medium,Tier 3 (Regional),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,Mon-Sat: 8:00 AM - 5:00 PM,Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Enhanced,Not Rated
ABC Metal Recycling,4418 Industrial Circle,Houston,TX,77091,29.752427,-95.333672,(713) 233-8628,info@abcmetalrecycling.com,https://www.abcmetalrecycling.com,"Stainless Steel, Steel, Iron",Basic Recycling,United States,"['Stainless Steel', 'Steel', 'Iron', 'Aluminum']","['Auto Dismantling', 'Electronic Recycling', 'Weighing Services', 'Transportation']","Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Scrap Metal Dealer,3.8,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,97,5,Mon-Sat: 8:00 AM - 5:00 PM,4,Medium,Medium,Tier 1 (Major Metro),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
{city} Metal Exchange,5047 Scrap Lane,Atlanta,GA,30314,33.749148,-84.404955,(404) 926-6191,info@{city}metalexchange.com,https://www.{city}metalexchange.com,"Wire, Copper, Aluminum",Basic Recycling,United States,"['Wire', 'Copper', 'Aluminum', 'Steel', 'Brass']","['Cash Payment', 'Commercial Accounts', 'Demolition Services', 'Roll-off Containers']","Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Scrap Metal Dealer,4.0,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,95,5,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",5,Medium,Medium,Tier 2 (Major State),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
{city} Scrap Metal,5809 Scrap Way,Cincinnati,OH,45287,39.149444,-84.482966,(513) 511-1495,info@{city}scrapmetal.com,https://www.{city}scrapmetal.com,"Industrial Metals, Steel, Stainless Steel",Basic Recycling,United States,"['Industrial Metals', 'Steel', 'Stainless Steel', 'Aluminum', 'Titanium']","['Pickup Service', 'Container Rental', 'Metal Processing', 'Certified Scales']","Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Metal Recycling Center,4.5,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,92,5,Mon-Sat: 8:00 AM - 5:00 PM,5,Medium,Medium,Tier 2 (Major State),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Industry Certified,Standard Operation,Standard,Not Rated
Capitol Scrap Metal,1171 Steel Road,Dallas,TX,75215,32.794028,-96.766312,(214) 853-9545,info@capitolscrapmetal.com,https://www.capitolscrapmetal.com,"Automotive Parts, Steel, Aluminum",Basic Recycling,United States,"['Automotive Parts', 'Steel', 'Aluminum', 'Copper', 'Lead']","['Pickup Service', 'Container Rental', 'Metal Processing', 'Certified Scales']","Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",Scrap Metal Dealer,4.4,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,98,5,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",5,Medium,Medium,Tier 1 (Major Metro),High,Standard Operations,Medium,Balanced Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Industry Certified,Standard Operation,Standard,Not Rated
Riverside Metal Recovery,451 Manufacturing Court,Miami,FL,33134,25.721602,-80.214139,(305) 360-5037,info@riversidemetalrecove.com,https://www.riversidemetalrecove.com,"Stainless Steel, Steel, Iron",Basic Recycling,United States,"['Stainless Steel', 'Steel', 'Iron', 'Aluminum']","['Metal Recovery', 'Pickup Service', 'Drop-off Service', 'Certified Weighing']","Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Industrial Recycling,3.9,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,93,5,Mon-Sat: 8:00 AM - 5:00 PM,4,Medium,Medium,Tier 2 (Major State),High,Standard Operations,Medium,Balanced Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Industry Certified,Standard Operation,Enhanced,Not Rated
Lone Star Scrap Metal,6151 Commerce Lane,Atlanta,GA,30337,33.774879,-84.393773,(404) 849-2678,info@lonestarscrapmetal.com,https://www.lonestarscrapmetal.com,"Wire, Copper, Aluminum",Basic Recycling,United States,"['Wire', 'Copper', 'Aluminum', 'Steel', 'Brass']","['Processing', 'Sorting', 'Container Service', 'Scrap Processing']","Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",Industrial Recycling,4.7,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,94,5,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",5,Medium,Medium,Tier 2 (Major State),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Keystone Metal Services,5788 Factory Street,Denver,CO,80212,39.722009,-105.025076,(303) 326-5746,info@keystonemetalservice.com,https://www.keystonemetalservice.com,"Industrial Metals, Steel, Stainless Steel",Basic Recycling,United States,"['Industrial Metals', 'Steel', 'Stainless Steel', 'Aluminum', 'Titanium']","['Container Rental', 'Demolition', 'Commercial Accounts', 'Cash Payment']",Mon-Sat: 8:00 AM - 5:00 PM,Metal Recycling Center,4.4,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,94,5,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",5,Medium,Medium,Tier 3 (Regional),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,Mon-Sat: 8:00 AM - 5:00 PM,Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Global Metal Solutions,4212 Recycling Avenue,Denver,CO,80237,39.787557,-104.98773,(303) 811-7534,info@globalmetalsolutions.com,https://www.globalmetalsolutions.com,"Stainless Steel, Steel, Iron",Basic Recycling,United States,"['Stainless Steel', 'Steel', 'Iron', 'Aluminum']","['Container Rental', 'Demolition', 'Commercial Accounts', 'Cash Payment']",Mon-Sat: 8:00 AM - 5:00 PM,Scrap Metal Dealer,3.9,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,92,5,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",4,Medium,Medium,Tier 3 (Regional),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,Mon-Sat: 8:00 AM - 5:00 PM,Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
