name,phone,email,website,address,city,state,country,description,materials,services
Today’s Scrap Prices & Local Scrap Yards,1747741523,,https://iscrapapp.com/,,,,United States,Stay up to date with current scrap metal prices. Maximize your profits with the latest market trends & locate scrap yards in the US & Canada.,"copper, aluminum, steel, iron, brass, battery, wire, cable",container
Scrap Metal Miami: Reliable Metal Recycling Near Me,1727289835,info@usascrapmetalsandrecycling.com,https://usascrapmetalcompany.com/,,,,United States,Highest Prices Paid Guaranteed! USA Scrap & Recycling is the recognized leader for value in metals waste-stream management in Miami-Florida.,"copper, aluminum, steel, iron, brass, cable","container, processing"
"Scrap Yard in Philadelphia, PA Serving NJ, DE, PA, and NY",(856) 356-2516,,https://sgt-scrap.com/,,,,United States,"Need a scrap yard in Philadelphia, PA or the surrounding areas? With pickup and drop-off for NJ, DE, PA, and NY, Sgt. Scrap is here to pay for your scrap metal.","copper, aluminum, steel, iron, brass, wire","pickup, container"
United States Scrap Yards Finder,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/scrap-yards,,,,United States,"Recycling Centers near you. Scrap Yards to Recycle Metal, Automotive, Plastic, Waste, Paper,Batteries,Construction,Hazardous, Household and Electronics Waste. Scrap Yard in United States and Canada","copper, aluminum, steel, iron, brass, battery","pickup, container, demolition, processing"
Scrap Yards & Scrap Prices in USA & Canada,1747741523,,https://iscrapapp.com/yards-in/,,,,United States,"See all of the Scrap Yards listed on the iScrap App in the US & Canada. View company information, current scrap prices, request containers, pickups, & more.","copper, aluminum, steel, iron, brass, battery, wire, cable","pickup, container"
Scrap Yards in New York,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/scrap-yard/united-states/alabama/new-york/,,,,United States,"Scrap Yards in New York, Alabama, United States. New York Recycling Centers Details and Pick Up,Drop Off,Curbside service. Nearest Scrap yards","copper, aluminum, steel, brass, battery","pickup, container"
Scrap Yards in Portland,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/scrap-yard/united-states/oregon/portland/,,,,United States,"Scrap Yards in Portland, Oregon, United States. Portland Recycling Centers Details and Pick Up,Drop Off,Curbside service. Nearest Scrap yards","copper, aluminum, steel, brass, battery","pickup, container"
Stone Security Service,0349095502,stnscrtservice@gmail.com,https://www.scrapmonster.com/scrap-yard/stone-security-service/59220,,,,United States,"Stone Security Service Scrap Yard. Recycling Centers in 5 Penn Plaza  19th Floor,,New york,Alabama, United States-ZIP:NY 10001. ","copper, aluminum, steel, brass","pickup, container"
Trashformers,0349095502,trashformerstx@gmail.com,https://www.scrapmonster.com/scrap-yard/trashformers/62708,,,,United States,"Trashformers Scrap Yard. Recycling Centers in No Brick and Mortar,,McKinney,Texas, United States-ZIP:75070. ","copper, aluminum, steel, brass","pickup, container"
NYOPENDATA,1643743604,,https://www.nyopendata.com/5183913-scrap-yard-holdings-llc,,,,United States,"SCRAP YARD HOLDINGS, LLC is a business entity registered in the state of New York under the legal form of DOMESTIC LIMITED LIABILITY COMPANY.  It can be found in the register by the DOS ID 5183913. The company was established and set into the register at 9th August 2017 and its current status is ACT",,container
scrap yards,(718) 297-6200,,https://www.fyple.com/company/scrap-yards-rjkwnpf/,175-15 Liberty Avenue Queens Jersey City 11433 NY United States,,,United States,"CCC Scrap is a trusted name in the scrap industry; it has been ruling this industry for the past 25 years. It’s the dedication, hard work an...","copper, aluminum, iron, brass",container
Scrap Yards New York City,(718) 297-6200,,https://www.fyple.com/company/scrap-yards-new-york-city-ri6zkv7/,175-15 Liberty Avenue Queens New York NY United States,,,United States,The emerging necessity of sustainable growth has marked the metal recycling process as a critical aspect for us. We at CCC Scrap have vowed ...,"copper, aluminum, iron, brass",container
Real Time Press Release Distribution,2644536267,info@americanscrapmetal.com,https://realtimepressrelease.com/press-releases-tagged-with/scrap-yard/,,,,United States,"




Scrap yard | Real Time Press Release Distribution







































Real Time Press Release Distribution

Search


Primary Menu
Skip to content






Search for:



 






Tag Archives: Scrap yard




Environment, Industrial

Getting The Most Cash At The Scrap Yard

August","copper, aluminum, steel, iron, brass, battery, wire, cable",container
Home,(800) 463-4797,,https://www.triplemmetal.com/,,,,United States,Triple M Metal is the North American leader in scrap metal. Have scrap metal you don’t know what to do with? Bring it to a Triple M Metal yard near you!,"copper, aluminum, steel, iron",container
,1497756424,scrap@metalconversions.com,https://www.metalconversions.com/,,,,United States,"






Metal Conversions















































                        Home
                      



                        About
                      



                        Buying
                      



                        Selling
                      



  ","copper, aluminum, steel, iron, brass, wire, cable","container, processing"
AMERICAN SCRAP METAL SERVICES,1619590516,americanscrapmetal@comcast.net,https://www.scrapmanchicago.com/,,,,United States,"Contact American Scrap Metal for our Scrap Metal pick up services in Alsip, IL","copper, aluminum, steel, iron, brass, wire","pickup, container, demolition"
Scrap Yards Near Me | Scrapyard Near Me,1725034300,,https://www.scrapyardnearme.co/,,,,United States,Scrap Yards Near Me is the #1 platform for your local recycling junkyard prices and needs. Discover the best scrap yard near me today! Offering the best prices.,"copper, aluminum, steel, iron, brass, wire, cable","pickup, container, demolition, processing"
Central Belt Salvage-We offer the best car Scrapyard,07946 135229,info@centralbeltsalvage.co.uk,https://centralbeltsalvage.co.uk/scrap-yard/,,,,United States,"If you’re looking for a reliable car scrap yard in the Central Belt area, look no further than Central Belt Salvage. We understand that finding a reliable and",iron,"container, demolition"
Ross Scrap Yard,1574280550,,https://www.company-listing.org/ross_scrap_yard.html,,,,United States,"




Ross Scrap Yard ,United States










 COMPANY-LISTING.ORG 
  








Home
Add new company listing







Rubber & PlasticsPlastic Raw MaterialsUnited States Ross Scrap Yard




Ross Scrap Yard





Company Details

Business Type : Trading Company
Location : 400 W Harper Rd 97838 Hermiston ",,
Scrapyard Near Me,01843 800800,enquiries@reclamet.co.uk,https://www.reclamet.co.uk/scrapyard-near-me/,,,,United States,"Scrapyard Near Me Open Today, For Metal, Car, Parts, Nearby Scrap Yard. Birchington, Dover, Ramsgate, Margate, Canterbury, Deal, Folkestone.",cable,"pickup, container, demolition, processing"
Massive fire breaks out at Kuwait scrap yard amid extreme heat and strong winds,1113250065,gnsmtp@gnonline.onmicrosoft.com,https://gulfnews.com/world/gulf/kuwait/massive-fire-breaks-out-at-kuwait-scrap-yard-amid-extreme-heat-and-strong-winds-1.500203608,,,,United States,More than 200 firefighters combat massive blaze at Kuwait scrap yard amid strong winds,"iron, wire",container
Call the scrap yard. We have a labor model to be picked up.,1028050688,,https://www.restaurantbusinessonline.com/workforce/call-scrap-yard-we-have-labor-model-be-picked,,,,United States,"Sweet & Sour: The restaurant business has grappled with labor challenges for about 40 years now, but never a situation as trying as the",iron,container
Scrap Trade & Scrapyard Near You,(815) 622-7298,,https://scrapvisor.com/find-scrap-yards/,,,,United States,"Find trusted scrap metal buyers and recycling centers in the USA. Get up-to-date prices, view an interactive map, and connect with reputable companies for fast, profitable scrap sales.","copper, aluminum, steel, iron, brass, wire, cable","pickup, container, demolition"
Locate a Local Scrapyard Near Me,4183031888,,https://scrapyards.io/,,,,United States,"






Home – Scrap Yards Near Me

































































































 



Skip to content

















Home
Search
About
Scrap Metal Prices
Blog
Account
 



+ Add Listing

























Toggle Menu
























L","copper, aluminum, steel, iron, brass, battery","container, demolition, processing"
Current Scrap Metal Prices in the United States,3085852732,,https://www.recyclingmonster.com/scrap-metal-prices,,,,United States,"Scrap Metal Prices in the United States & Canada as of 12/31/1969. Daily price movements, historical price charts & city wise data","copper, aluminum, steel, iron, brass, wire, cable",container
Our Company Commitment,1751305011,,https://metalrecyclingservices.com/about/,,,,United States,"




About | Metal Recycling Services








































Sell Your Scrap

Household Scrap
Junk Car
Non-Ferrous/E-Scrap


Industrial Scrap

Dispatch
MyScrapInfo


Locations

Gastonia, NC
Monroe, NC
Whiteville, NC


Careers
About

Affiliates
Community
Environment
Fast Facts
Leader",iron,container
WESTERN METALS RECYCLING,1752909374,,https://wmrecycling.com/,,,,United States,"




Western Metals Recycling – WMR








































Sell Your Scrap

Scrap Metal
Industrial Scrap
Junk Car
MyScrapInfo


Locations

Denver, CO
Grand Junction, CO
Plymouth, UT
Provo, UT
Salt Lake City, UT
Sparks, NV


Careers
About WMR

Safety
Environment
Community
Fast Facts
","copper, aluminum, steel, iron, brass, wire","container, demolition"
Scrap Metal Recycling Companies in United States,0349095502,info@scrapmonster.com,https://www.scrapmonster.com/companies/scrap-metal-recycling/country/united-states/397,,,,United States,"Scrap Metal Recycling Companies, Buyers, Suppliers in United States United States Traders Directory","copper, aluminum, steel, iron, brass, battery, wire","pickup, container, processing"
"MD Metal Recycling Services, Inc.",2545352419,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.mdmetalrecycling.com/,,,,United States,MD Metal Recycling Services - providing solutions for your scrap metal recycling business. Buying aluminum and other non-ferrous metals. ,"aluminum, iron",container
Recycle with USRI,(215) 338-5050,info@unitedstatesrecycling.com,https://unitedstatesrecycling.com/,,,,United States,United States Recycling Inc. offers a complete range of solutions to recyclable material generators in the Tri-State area and beyond.,"aluminum, iron",container
Aluminum Producer and Scrap Metal Recycler,5876159866,,https://www.metalsourcellc.com/,,,,United States,Providing full-service scrap and metal recycling services for individuals and businesses throughout Indiana.,"copper, aluminum, steel, iron",container
Metal Recycling,1751302415,myCMC-logo@2x.png,https://www.cmc.com/en-us/what-we-do/america/metal-recycling,"6565 N. MacArthur Blvd. Suite 800 Irving , TX 75039",6565 N. MacArthur Blvd. Suite 800 Irving,TX,United States,CMC Recycling is a leader in the recycled metals industry—we buy and sell ferrous and nonferrous metal and support everyone from the general public up through to major manufacturers who produce recyclable metal as a byproduct of their operations. Learn more today!,"steel, iron, wire, cable","container, processing"
We Buy Your Scrap,1751892537,,https://metalrecyclingservices.com/,,,,United States,"




Metal Recycling Services | MRS








































Sell Your Scrap

Household Scrap
Junk Car
Non-Ferrous/E-Scrap


Industrial Scrap

Dispatch
MyScrapInfo


Locations

Gastonia, NC
Monroe, NC
Whiteville, NC


Careers
About

Affiliates
Community
Environment
Fast Facts
Leadersh","aluminum, steel, iron, brass","container, demolition"
Metal Recycling Plants In United States,1611803661,,https://www.enfmetal.com/directory/plant/United-States,,,,United States,List of American metal recycling plants - showing companies in United States that process metal waste into new materials.,"aluminum, steel",container
Your Premier Precious Metals Refiner,(800) 551-0083,,http://www.midstatesrecycling.com/,,,,United States,"Accurate, transparent gold, silver, platinum, and palladium refining for jewelers and businesses. Trusted U.S refinery with high returns and full support.",copper,"container, processing"
Scrap Metal Recycling,1748929278,Asset-2@3x-8.png,https://questrmg.com/metal-recycling/,,,,United States,Quest provides a nationwide scrap metal recycling customized for your operation that delivers maximum return and environmental compliance.,"copper, aluminum, steel, iron, brass, battery, wire","container, processing, sorting"
"Scrap Metal Recycling in the US- Market Research Report
                        (2014-2029)",4072512935,info@ibisworld.com,https://www.ibisworld.com/united-states/market-research-reports/scrap-metal-recycling-industry/,,,,United States,"Expert industry market research on the Scrap Metal Recycling in the US (2014-2029). Make better business decisions, faster with IBISWorld's industry market research reports, statistics, analysis, data, trends and forecasts.","copper, aluminum, steel, iron","container, processing, sorting"
Environmental Services,1111208860,,https://aandsmetal.com/environmental-services,,,,United States,"


A&S Metal Recycling - Environmental Services





















Home
About Us

History
About Us
Our Mission
Compliances
Mexico Division
Industry Affiliations
Careers


Services

Management Consulting
Metal Processing
Scrap Metal Services
Brokerage
Certified Destruction


Products

Ferrous Metal",iron,"container, processing"
A&S Metal Recycling,1757319443,,https://aandsmetal.com/,,,,United States,"


A&S Metal Recycling


















Home
About Us

History
About Us
Our Mission
Compliances
Mexico Division
Industry Affiliations
Careers


Services

Management Consulting
Metal Processing
Scrap Metal Services
Brokerage
Certified Destruction


Products

Ferrous Metal
Non-Ferrous Metal
High Temp",iron,"container, processing"
"Metal Recycling Services In South Bend, Indiana - South Bend Junk Removal",1740011246,,https://www.southbendjunkremoval.com/metal-recycling.html,,,,United States,"

Metal Recycling Services In South Bend, Indiana - South Bend Junk Removal












































































 


				Home
			



				Services
			





			Special Hauling Services
		>






			Apartment Complex Cleanout
		





			Attic Cleanup Service
		


","copper, aluminum, steel, iron, brass","pickup, container"
Recycling Services/ Resource Metal Recycling,(330) 908-0400,,https://www.resourcemetalrecycling.com/recycling-services,,,,United States,"Resource Metal Recycling offers scrap metal recycling services to the general public as well as trade contractors, industrial and automotive industries.","copper, aluminum, steel, iron, brass, wire",container
Recycling | JSI Metal Recycling | United States,5811658444,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.jsimetal.com/,,,,United States,"JSI Metal Recycling pays cash for your scrap! With our certified scales, we will aim to be the best metal recycler in Central Arkansas. ","copper, aluminum, iron, brass","pickup, container"
Metal/Scrap Metal Recycling Services,(513) 800-2999,info@IH-R.com,https://ih-r.com/metal-scrap-metal-recycling/,,,,United States,"Discover reliable metal recycling services at Industrial Hauling Recycling. Our sustainable solutions cater to your industrial needs, promoting a greener future.","copper, aluminum, steel, iron, brass, cable","container, sorting"
"WEEDVILLEBranch Yard​1817 Redwood Ave.Weedville, PA  15868",2545352419,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.noveyrecycling.com/,,,,United States,"Welcome to Novey Recycling, Inc. We are a family business serving Central PA since 1906. A Scrap Metal Recycling and Auto Salvage Facility providing Roll Off Container Service ","copper, aluminum, steel, iron, brass",container
"Texas Metal Recycling Company, Services Nationwide.",1743619629,nationalscrapmetal@yahoo.com,https://agmetalrecycling.com/,,,,United States,"





Scrap Metal: Scrap Metal Recycling Services | Houston Scrap Metal | Scrap Metal Near Me | Texas's Metal Recycling  | Metal Scrap Near Me Houston - Scrap Metal Junkyard




























(214) 502-5030
nationalscrapmetal@yahoo.com















Home
About
Services
Contact
 


Select ","copper, aluminum, steel, brass","container, weighing"
"6 REGIONAL COMPANIES, 70 RECYCLING FACILITIES",1745523011,,https://djj.com/recycling/,,,,United States,"We operate 6 regional companies with over 60 nationwide scrap metal recycling facilities, as well as many self-serve used auto part stores (U-Pull-&-Pay).","steel, iron",container
National Scrap Metal Services,(973) 826-2745,,https://rockawayrecycling.com/scrap-metal-pickups/scrap-services-across-the-united-states/,,,,United States,"Get in contact with Rockaway Recycling for your Industrial Scrap Metal needs throughout the United States. We offer services to some of the largest processors. We can help with removal of scrap metal from demolitions, liquidations, rip-outs, and more. Contact us today to get started and start scrapp","copper, aluminum, steel, iron, battery, wire, cable","pickup, container, demolition"
Rating Top 26 Companies in Scrap Metal Recycling,9488471075,,https://www.inven.ai/company-lists/top-26-scrap-metal-recycling-companies,,,,United States,Discover the top players in scrap metal recycling like Schnitzer Steel and Sims Metal Management. Tap into comprehensive data and reviews outlining industry trends,"copper, aluminum, steel, iron, brass, wire, cable","container, demolition, processing, sorting"
AnyScrap Anywhere Anytime,(208) 562-1200,info@umrecycling.com,https://umrecycling.com/,,,,United States,"








Home | United Metals Recycling






















































































HomeHistory
Environmental Commitment


ServicesBin Exchange
MOBILE SHREDDING
Scrap Management
Transportation
Processing
Converter Reclaim
Copper Reclaim
Electronics Recycling","copper, aluminum, iron, wire","pickup, container, demolition, processing"
Metal Recyclingfor Your Business,833.910.1544,,https://recoverusa.com/recycling-services/metal-recycling/,,,,United States,"Recover offers industrial and scrap metal recycling services for industries throughout the United States. We accept aluminum, copper, brass, steel & more.","copper, aluminum, steel, iron, brass, wire, cable",container
Austin Metal and Iron,512-272-8111,,https://austinmetalandiron.com/contact-us/metal-recycling-services-west-lake-hills-tx,,,,United States,"Austin Metal & Iron offers metal recycling services at our location in West Lake Hills, TX. We accept aluminum, brass, copper, iron, and more. Call today!","copper, aluminum, steel, iron, brass","pickup, container"
