name,phone,email,website,address,city,state,country,description,materials,services
We Buy Your Scrap,1751892472,,https://rmrecycling.com/,,,,United States,"





River Metals Recycling | RMR












































Sell Your Scrap

Household Scrap
Junk Car
E-Scrap
Industrial Scrap


Industrial Scrap

Dispatch
MyScrapInfo


Locations

Indiana

Greensburg
New Albany
Seymour/North Vernon


Kentucky

Ashland
Danville
Glasgow (Speedway R","copper, aluminum, steel, iron, brass, wire","container, demolition"
Recycling,(406) 727-6222,,https://www.pacific-steel.com/recycling/,,,,United States,We create a customized program to meet your needs to make steel and metal recycling convenient for consumers and commercial customers. Learn more today.,"copper, aluminum, steel, iron, brass, wire, cable","pickup, container"
CMCRecycling,(214) 689-4300,myCMC-logo@2x.png,https://www.cmcrecycling.com/,"6565 N. MacArthur Blvd. Suite 800 Irving , TX 75039",6565 N. MacArthur Blvd. Suite 800 Irving,TX,United States,"





Home | CMC Recycling




















Skip to content











Locations

























 


Search



Submit Search




 

About Us


Sell Your Scrap


Individual / Commercial Recycling


Industrial Recycling


Scrap Metal Dealers




Why Recycle


Locations


Alabama



Alexand","copper, steel","container, processing"
YourLocalMetalRecycler,(856) 365-7500,,https://us.emrlocal.com/,,,,United States,"EMR Metal Recycling USA. Earn money from recycling metal. Fast payment. Everyone welcome. Best prices paid for ferrous (steel / iron) and non-ferrous (aluminium, brass, bronze, copper, lead) metals, scrap cars, cans, and appliances.","copper, aluminum, steel, iron, brass, cable",container
Scrap Metal Recycling,(651) 454-9215,recycle@jrsadvancedrecyclers.com,https://jrsadvancedrecyclers.com/scrap-metal-prices/,,,,United States,Scrap Metal Recycling,"copper, aluminum, steel, iron, brass, battery, wire",container
Metal Recycling Los Angeles,(818) 771-0510,info@tmscrapmetals.com,https://www.tmscrapmetals.com/metal-recycling-los-angeles/,,,,United States,"Metal recycling in Los Angeles, CA. We pay top prices for scrap metal. Need your scrap picked up? We offer mobile recycling and can come to you. Call today!","copper, aluminum, steel, iron, brass, wire",container
Got Metal? Scrap it!,(916) 624-1262,,https://www.evtrecycling.com/,,,,United States,"We buy and properly dispose of all types of scrap metals, from copper and aluminum to brass and steel. Find out what types of metal we buy.","copper, aluminum, steel, iron, brass, wire","container, processing, weighing"
Contact Us,(350) 932-5711,,http://allscrap.biz/,,,,United States," 






All Scrap Metal Recycling Home - All Scrap Metal Recycling



































































Home
About Us
Items We Buy
Contact









 





Scrap Metal Recycling 

Our full service metal recycling center offers the flexibility you need at competitive pric",,"pickup, container, demolition"
Home,(800) 463-4797,,https://www.triplemmetal.com/,,,,United States,Triple M Metal is the North American leader in scrap metal. Have scrap metal you don’t know what to do with? Bring it to a Triple M Metal yard near you!,"copper, aluminum, steel, iron",container
Metal recycling dallas tx,(214) 421-9981,cropped-Clean-up-services-page-Customized-recycling-logo@2x-32x32.png,https://www.actionmetalsrecyclers.com/,,,,United States,"Choose Action Metal Recyclers for top-notch metal recycling in Dallas, TX. Contact us now for great rates and more information.","copper, aluminum, steel, iron, brass, battery, wire","container, demolition"
Factoria Recycling & Transfer Station,(206) 477-4466,,https://kingcounty.gov/en/dept/dnrp/waste-services/garbage-recycling-compost/solid-waste-facilities/factoria,,,,United States,"























Factoria Recycling & Transfer Station - King County, Washington


Skip to main content


            close
        

KingCounty.gov is an official government website. Here's how you knowexpand_moreexpand_less








                                    account_balance
   ",iron,"container, processing"
Pricing for Scrap Metal,(301) 663-4482,info@reliablerecyclingcenter.com,https://www.reliablerecyclingcenter.com/pricing/,,,,United States,"We pay cash for steel, copper, brass, stainless steel, aluminum, lead, and batteries. Check out our estimated pricing for scrap metal. Call to learn more.","copper, aluminum, steel, iron, brass, wire",container
"Metal, Appliances and Electronics",(703) 228-5000,descontactcenter@arlingtonva.us,https://www.arlingtonva.us/Government/Programs/Recycling-and-Trash/Residential/Curbside-Recycling-Trash/Electronics-Metal,,,,United States,"Have the County recycle your old metal, appliances and electronics.",iron,"pickup, container"
Metal Recycling,(808) 245-6919,,https://www.kauai.gov/Government/Departments-Agencies/Public-Works/Solid-Waste/Recycling/Metal-Recycling,,,,United States,"Puhi Metals Recycling FacilityThe Puhi Metals Recycling Facility is operated by Resource Recovery Solutions. The mission of the Puhi Metals Recycling Facility is to accept and recycle abandoned, untaxed, derelict and junked motor vehicles, white goods, scrap metal, and other...","copper, aluminum, steel, iron, battery, cable",container
Monrovia Recycling Center,(954) 688-3088,info@scrapmonster.com,https://www.scrapmonster.com/company/monrovia-recycling-center/13353,,,,United States,"Monrovia Recycling Center. Scrap Metal Recycling Company in United States,California,Monrovia, 145 W Duarte Blvd  91016. Waste Recycling Company","copper, aluminum, steel, brass","pickup, container"
TRC America Scrap Metal Recycling Center | Eustis FL,310-3223,,https://www.facebook.com/TRC-America-Scrap-Metal-Recycling-Center-184377779231/posts,,,,United States,"TRC America Scrap Metal Recycling Center, Eustis. Отметки ""Нравится"": 180 · Обсуждают: 1 · Посетили: 25. Need Extra Cash?  TRC America Recycling Center...","aluminum, iron, wire","container, processing, sorting"
"Rather Recycling – Copper Scrap Metal, Recycling Center & Scrap Yards in Birmingham AL at 323 Finley Blvd, Birmingham, AL 35204",(533) 908-8950,icons-ffffff@2x.png,https://www.u-pull-it.com/junkyards-directory/rather-recycling-copper-scrap-metal-recycling-center-scrap-yards-in-birmingham-al-at-323-finley-blvd-birmingham-al-35204/,,,,United States,"Rather Recycling - Copper Scrap Metal, Recycling Center & Scrap Yards in Birmingham AL Recycling center at 323 Finley Blvd, Birmingham, AL 35204","copper, aluminum, steel, iron, brass",container
D & L Recycling,(406) 283-6376,help@mapquest.com,https://www.mapquest.com/us/ohio/d-l-recycling-22613018,,,,United States,"Get more information for D & L Recycling in Valley City, OH. See reviews, map, get the address, and find directions.","copper, aluminum, steel, iron, brass, wire","pickup, container, processing"
"Cash For Scrap Metal in Mt. Airy, MD",(301) 663-4482,info@reliablerecyclingcenter.com,https://www.reliablerecyclingcenter.com/about-us/service-areas/scrap-metal-recycling-mt-airy-md/,,,,United States,"Received cash for scrap metal in Mt. Airy, MD. Get paid to recycle! Call Reliable Recycling to learn more. We also offer roll-off containers!","copper, aluminum, steel, iron, brass, wire",container
Taney Co Metal & Recycling,(417) 546-6700,,https://www.salvage-parts.com/junk-yards/taney-co-metal-amp-recycling,"Location: USA , Missouri, Taney, Taneyville Address: 381 Central Ave, Taneyville, MO 65759 Phone: +1 417-546-6700 Website: Last update: September 23, 2024","Location: USA , Missouri, Taney, Taneyville Address: 381 Central Ave, Taneyville",MO,United States,"Check the info on Taney Co Metal & Recycling, which is located in Taneyville (Missouri).",,container
A & R  Scrap Metal Recycling CompanyA Scrap Metal Buyer in Moreno Valley,(713) 410-8333,,"https://www.armetalrecyclers.com/Moreno_Valley,_California.html",,,,United States,"A & R Scrap Metal Recycling Company, scrap metal buyer in Moreno Valley, scrap metal recycler, recycle scrap metal, scrap metal prices, scrap buyer, Moreno Valley, CA","copper, aluminum",
PROUDLY SERVING SAN ANTONIO FOR OVER 20 YEARS.,(210) 661-2341,user@domain.com,http://longhornrecycling.com/,,,,United States,"






Longhorn Recycling





























































































Sign In
My Account




















              Home
            

About


Recycling




            Services
          

Resources


            Contact
          





Back

","copper, aluminum, steel, iron, brass, wire","pickup, container, processing"
Studdard Scrap Metal’s Post,(214) 748-3647,,https://www.linkedin.com/posts/studdard-scrap-metal_scrapmetalrecycling-metalrecycling-recycle-activity-7195870528094547968-L6mC,,,,United States,"Have you ever wondered what happens after you drop off your metal to our scrap yard?  Read below to find out more about the cycle of recycling!
#scrapmetalrecycling #metalrecycling #recycle #metal #scrapmetal #scrap #houma #louisiana #morgancity ","aluminum, steel, iron, wire","container, sorting"
Scrap Metal Recycling Center,(218) 437-3436,,http://scrapmetalrecyclingcenter.com/scrap-metal-in-connecticut-buyers-suppliers-disposal-recycling-and-waste-management/,,,,United States,Scrap Metal in Connecticut – How Is Metallic Waste Managed ? Scrap Disposal Scrap metal that is generated in the United States in general and Connecticut in,"copper, aluminum, steel, iron","container, processing"
Scrap recycling,(239) 320-1193,,https://fl.biznet-us.com/firms/scrap_recycling/,,,,United States,"



Scrap recycling - Florida














 



Florida




Companies:71,348 Products and Services:2,324 

Articles and publications:1,354 Tenders & Vacancies:11 



Sign in










Is your Company in our Directory?






Companies



 
Products and Services

 

 
Tenders

 

 
Vacancies

 

 
Ar",aluminum,container
Scrap Yards in United States,(954) 688-3088,info@scrapmonster.com,https://www.scrapmonster.com/scrap-yard/united-states/,,,,United States,"Scrap Yards in United States - Metal,Automotive,Electronics and Plastic Recycling Centers in United States states and cities, Yard contact details","copper, aluminum, steel, iron, brass, battery, wire","pickup, container, processing"
Scrap Metal Recycling Facts,(313) 531-4009,,https://www.articlespace.org/scrap-metal-recycling-facts/,,,,United States,"In recent years, the public has been more educated as to the importance of recycling as many materials as possible in order to deflect from having an","copper, aluminum, steel, iron, battery","container, demolition, processing, weighing"
Residential Metal Recycling Services,(713) 862-5588,,https://cdscrapmetal.com/residential-metal-recycling/,,,,United States,"Recycle household appliances, brass fixtures, and more. Enjoy competitive pricing and friendly service at our four Houston locations. View our locations.","copper, aluminum, steel, iron, brass",container
Scrap Metal Recycling Gallery,(973) 589-7778,Info@Hcmetals.Com,https://hcmetals.com/what-we-accept/gallery/,,,,United States,Have some scrap metal you would like to get rid of but are not sure if we accept them? Check out our scrap metal recycling gallery to learn more!,"copper, aluminum, steel, iron, brass, battery, wire, cable","container, demolition, processing"
How Companies that Buy Scrap Metal Are Improving the Environment,(708) 730-1400,,https://scrapmetalservices.com/tag/scrap-metal-recycling-center/,,,,United States,"


 




Scrap Metal Recycling Center Archives | Scrap Metal Services

































































Skip to content 



 



 
 
Home
About 




History Meet The Team Safety Core Values Sustainability Careers Press Releases

Services 




Steel Mill Services Non-Fe","steel, iron","container, demolition, processing"
Established Scrap Metal Recycling,(203) 809-2611,,https://www.unionbaygroup.com/listings/established-scrap-metal-recycling,,,,United States,"This listing is for a long-established, profitable, and reputable scrap metal recycling operation located in Northwest Indiana. In continuous operation for over","copper, aluminum, steel, brass","container, processing"
Scrap Metal Yards and Dealers in USA,(410) 546-1111,admin-contacted@proton.me,https://metalrecap.com/,,,,United States,Scrap Metal Yards and Dealers in the USA: Where to Sell Scrap for the Best Price: ✓ Locations ✓ Prices per lb ✓ Business Hours ☎ Phone Numbers,"copper, aluminum, steel, iron, brass, battery, wire, cable","pickup, container, demolition, processing"
Scrap Yards in United States,(954) 688-3088,info@scrapmonster.com,https://www.scrapmonster.com/scrap-yard/united-states,,,,United States,"Scrap Yards in United States - Metal,Automotive,Electronics and Plastic Recycling Centers in United States states and cities, Yard contact details","copper, aluminum, steel, iron, brass, battery, wire","pickup, container, processing"
Best Metal Recycling Centers in the United States,(801) 658-9656,,https://www.recyclingmonster.com/recycling/metal/1,,,,United States,"BEST Metal Recycling Centers in the United States - Updated 2025 - RecyclingMonster - Wasatch Metal Recycling, Arvada Recycling, SA Recycling , Action Metals Recyclers, C&D Scrap Metal Recyclers, United Scrap Metal Inc, Belson Steel Center Scrap,Inc, American Metals Company, Cohen, Denver Scrap Meta","copper, aluminum, steel, iron, brass, battery, wire, cable","container, processing"
Top Metal Recycling Companies in United States,(800) 548-1946,,https://ensun.io/search/metal-recycling/united-states,,,,United States,"Discover all relevant Metal Recycling Companies in United States, including Trademark Metals Recycling and Real Alloy","copper, aluminum, steel, iron, brass, battery, wire","pickup, container, demolition, processing, sorting, weighing"
Scrap Metal Recycling Near Me,1752925945,,https://www.recyclingcenternear.me/recycle-metal-near-me/,,,,United States,"Find the nearest metal recycling center near you and get paid for your scrap metal. Ferrous and non-ferrous metal. Steel, copper, aluminum, iron, brass. All types of metal accepted: scrap, pipe, wire, siding","copper, aluminum, steel, iron, brass, battery, wire, cable","container, sorting"
AXIS RECYCLING,(316) 744-3260,axisrecycling@sbcglobal.net,https://www.axisrecycling.com/,,,,United States,Scrap Metal Recycling: Commercial and  walk in customers. Family owned and operated. axisrecycling.org,"copper, aluminum, steel, iron","pickup, container, processing"
